Machine,SKUCode,MouldNos,MouldLife_remaining,Num_Moulds
14801,1325215613075TTMX0,C15570R13TAXTLHM02|C15570R13TAXTLHM01,2763,2
14802,1325218614088TVECE,C18570R14VECTLMK04|C18570R14VECTLMK02,2606,2
14803,1325215813079STMX0,C15580R13TAXIMHM02|C15580R13TAXIMHM01,2456,2
14804,1325218515088HUTR0,B1856515UXTOURGC02|B1856515UXTOURGC01,2080,2
14805,1325221715100SRHT0,C21575R15RHTTLHM14|C21575R15RHTTLHM13,1385,2
14806,1325218615089HURL0,B1857015UXROYHMI02|B1857015UXROYHMI01,2242,2
14807,1225221615008QXC10,B2157015ULXPC1HM02|B2157015ULXPC1HM01,2861,2
14808,1225223516121PSKP0,B23565R16SKINGGC06|B23565R16SKNGHMI01,1583,2
14809,1325218615089HURL0,B1857015UXROYHMI04|B1857015UXROYHMI03,2311,2
14810,1225223516121PSKP0,B23565R16SKNGHMI03|B23565R16SKNGHMI02,2765,2
14811,1325220316094VUX10,C20555R16UX1TLGC02|C20555R16UX1TLGC01,2663,2
14812,1325214813075SUNE1,B1458013ULNEO1GC13|B1458013ULTNEOGC01,1794,2
14813,1325217614084HURL2,B1757014UXROYHMI02|B1757014UXROYHMI01,793,2
15201,1325216814085SURL0,B1658014UXROYLHM08|B1658014UXROYLHM06,0,2
15202,1325221416099WLHP0,B2156016LEVHPHMI02|B2156016LEVHPHMI01,2982,2
15203,1325226517112TRAB0,B2656517RNAT2HMI02|B2656517RNAT2HMI01,2968,2
15204,1325217514082TTMX0,B1756514TAXIMXHM04|B1756514TAXIMXHM01,1768,2
15205,1325214813075SUNE1,B1458013ULNEO1GC17|B1458013ULNEO1HM03,1133,2
15206,1325221715100SRHT0,C21575R15RHTTLHM08|C21575R15RHTTLHM03,1280,2
15207,1325221416095VURL0,B2156016UXROYLGC10|B2156016UXROYLGC03,0,2
15208,1225223516121PSKP0,B23565R16SKINGGC03|B23565R16SKINGGC02,798,2
15209,1325218415084TTMX0,C18560R15TAXIMHM03|C18560R15TAXIMHM02,2399,2
15210,1325221715100SRHT0,C21575R15RHTTLHM12|C21575R15RHTTLHM04,1342,2
15211,1325222318102VRHE1,B22555R18RHPEHMI02|B22555R18RHPEHMI01,2963,2
15212,1325217415081HUTR0,C17560R15UXTLHMI03|C17560R15UXTTHMI02,2007,2
15213,1325218515088HUTR0,C18565R15UXTTLUZ02|C18565R15UXTTLUZ01,1969,2
24801,1325215513073TUHL0,B1556513ULTHILHM02|B1556513ULTHILHM01,1662,2
24802,1325214813075SUNE1,B1458013ULNEO1HM04|B1458013ULNEO1HI02,2607,2
24803,1325215813079STMX0,C15580R13TAXIMHM06|C15580R13TAXIMHM04,2459,2
24804,1D25215013008SXC11,C155R13ULTXPC1HM03|C155R13ULTXPC1HM02,0,2
24805,1325216814085SURL0,B1658014UXROYLGR13|B1658014UXROYLGR12,2934,2
24806,1325217415081HUTR0,C17560R15UXTTHMI01|C17560R15UXTLHMI04,2017,2
24807,1325214813075SUNE1,B1458013ULNEO1GC11|B1458013ULNEO1GC04,2153,2
24808,1D25215013008SXC11,C155R13ULTXPC1HM24|C155R13ULTXPC1HM01,2091,2
24809,1325216614081SUTR0,C16570R14UXTTLHM03|C16570R14UXTTLHM02,1776,2
24810,1325214813075SUNE1,B1458013ULNEO1HM09|B1458013ULNEO1GC05,1523,2
24811,1325214813075SUNE1,B1458013ULTNEOHM01|B1458013ULNEO1HI01,1123,2
24812,1325218615089HURL0,B1857015UXROYHMI06|B1857015UXROYHMI05,2495,2
24813,1325214813075SUNE1,B1458013ULNEO1HM11|B1458013ULNEO1GC03,1355,2
24814,1D25115013008QXPC0,B155R13ULTXPCHMI03|B155R13ULTXPCHMI01,2797,2
24815,1325214813075SUNE1,B1458013ULNEO1HM12|B1458013ULNEO1HM08,1148,2
24816,1325214813075SUNE1,B1458013ULNEO1GC10|B1458013ULNEO1GC09,18,2
24817,1325217613082TUNE2,B1757013ULTNEOGC02|B1757013ULTNEOGC01,1308,2
24818,1325215813079SUHL0,B1558013ULHLIFGC03|B1558013ULHLIFGC02,162,2
24819,1D25115013008QXPC0,B155R13ULTIXPCGC02|B155R13ULTIXPCGC01,2909,2
24820,1325217514082TTMX0,B1756514TAXIMXHM06|B1756514TAXIMXHM05,1804,2
24821,1D25215013008SXC11,C155R13ULTXPC1HM20|C155R13ULTXPC1HM18,1761,2
24822,1325216614081SUTR0,C16570R14UXTTLHM04|C16570R14UXTTLHM01,1725,2
24823,1325218515088HUTR0,B1856515UXTOURGC04|B1856515UXTOURGC03,1984,2
24824,1325218614088TVECE,C18570R14VECTLMK03|C18570R14VECTLMK01,1529,2
24825,1325214813075SUNE1,B1458013ULNEO1HM07|B1458013ULNEO1GC02,1366,2
24826,1325214813075SUNE1,B1458013ULNEO1GC08|B1458013ULNEO1GC07,1388,2
4401,1325214613071TTMX0,B1457013TAXIMXHM02|B1457013TAXIMXHM01,2591,2
4402,1325119815106QBRQ0,B1958015BRUTLTHM09|B1958015BRUTLTHM08,2490,2
4403,1325119815106QBRQ0,B1958015BRUTLTHM07|B1958015BRTLTHMI01,2495,2
4404,1D25213812090FXPC0,B13080R12UXPCHMI07|B13080R12UXPCHMI04,806,2
4405,1325119815106QBRQ0,B1958015BRTLTHMI03|B1958015BRTLTHMI02,2512,2
4406,1D25212812086FXPC0,B1208012ULXPCHMI02|B1208012ULXPCHMI01,0,2
4407,1325217514082TVECH,B1756514VECTRAGC04|B1756514VECTRAGR03,2684,2
4408,1325215513073TUHL0,C15565R13ULTLHMI02|C15565R13ULTLHMI01,1739,2
4409,1D25213812090FXPC0,B13080R12ULXPCGC02|B13080R12UXPCHMI01,1142,2
4410,1225170015012LSTL0,B70015STKINGLTHM26|B70015STKINGLTGC06,1583,2
4411,1325217514082TVECH,B1756514VECTRAGC07|B1756514VECTRAGC06,2729,2
4412,1225170015012LSTL0,B70015STKINGLTHM47|B70015STKINGLTHM33,1530,2
