WCNAME,Current MouldNo,Sapcode,SKU Description,Mould life,Target Life
3609,GC01#GC02,1D25214012008QXPCT,145 R12 ULTIMA XPC TL TATA,1774,3000
3610,GC07#GC09,1D25214012008QXPCT,145 R12 ULTIMA XPC TL TATA,1779,3000
3611,GC12#GC13,1D25214012008QXPCT,145 R12 ULTIMA XPC TL TATA,1561,3000
3612,GC08#GC15,1D25214012008QXPCT,145 R12 ULTIMA XPC TL TATA,539,3000
3613,HM03#HM04,1D25214012008QXPCT,145 R12 ULTIMA XPC TL TATA,323,3000
3614,GC07#GC09,1D25214012008QXPCT,145 R12 ULTIMA XPC TL TATA,2169,3000
3615,GC12#GC05,1D25214012008QXPCT,145 R12 ULTIMA XPC TL TATA,581,3000
3616,GC03#GC06,1D25214012008QXPCT,145 R12 ULTIMA XPC TL TATA,1901,3000
4501,HM05#HM07,1D25215013008SXC10,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL),489,3000
4502,HM14#HM15,1325215813079TUNE3,155/80 R13 ULTIMA NEO MSIL,2363,3000
4503,HM10#HM23,1325215813079TUNE3,155/80 R13 ULTIMA NEO MSIL,2245,3000
4504,HM09#HM25,1325215813079TUNE3,155/80 R13 ULTIMA NEO MSIL,2225,3000
4505,GC04#GC07,1325215813079TUNE5,155/80 R13 ULTIMA NEO LRR,714,3000
4506,GC02#GC10,1D25215013008SXC10,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL),869,3000
4507,GC01#GC02,1325215514075TUNE0,155/65 R14 ULTIMA NEO,766,3000
4508,GC09#GC10,1325215813079TUNE5,155/80 R13 ULTIMA NEO LRR,1487,3000
4509,HM21#HM26,1325215813079TUNE3,155/80 R13 ULTIMA NEO MSIL,168,3000
4510,HM08#HM16,1D25215013008SXC10,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL),877,3000
4511,HM12#HM22,1325215813079TUNE3,155/80 R13 ULTIMA NEO MSIL,2225,3000
4512,HM09#HM22,1D25215013008SXC10,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL),877,3000
4513,HM07#HM05,1325215813079TUNE3,155/80 R13 ULTIMA NEO MSIL,2697,3000
4514,HM14#HM25,1D25215013008SXC10,155 R13 C ULTIMA XPC1 90/89 S TL (MSIL),878,3000
4515,HM08#HM16,1325215813079TUNE3,155/80 R13 ULTIMA NEO MSIL,1814,3000
4601,HM01#HM02,1325218614088TTMX0,185/70 R14 TAXIMAX,954,3000
4602,HMI03#HMI04,1325214812074TTMX0,145/80 R12 TAXIMAX,511,3000
4603,HM01#HM02,1325215514075TUNE0,155/65 R14 ULTIMA NEO,703,3000
4604,SX02#SX03,1325214617107MSXT0,T145/70 R17 STAR XT,2201,3000
4605,GC01#GC05,1325214812074TUHL0,145/80 R 12 ULTIMA HI LIFE TL,1144,3000
4606,GC10#GC16,1D25214012008QXPCT,145 R12 ULTIMA XPC TL TATA,1225,3000
4607,GC01#GC02,1D25214012008QXPCT,145 R12 ULTIMA XPC TL TATA,2658,3000
4608,HMI10#HM12,1325214812074TUHL0,145/80 R 12 ULTIMA HI LIFE TL,116,3000
4609,HM01#HM02,1D25214012008QXPCT,145 R12 ULTIMA XPC TL TATA,786,3000
4610,HM01#HM02,1325218316083HURL0,185/55 R16 UX ROYALE,481,3000
4801,CGC02#HM04,1225219Z15008SXC11,195 R15 ULTIMA XPC1 AL,77,3000
4802,GC08#GC10,1D25216814008QXPC0,165 R14 ULTIMA XPC TATA TL,1709,3000
