SKUCode,Priority,Demand,GT_Inventory,Planned_Units,Gap,Fulfillment_Pct,Status,CycleTime_min,Eligible_Machines,Presses_Needed,Skip_Reason
1325214813075SUNE1,4.08026677758076,55000,227,55014,0,100.0,FULLY MET,15,86,9.24,
1D25213812090FXPC0,4.044803455849624,30700,255,30391,309,99.0,PARTIAL,17,43,5.85,
1D25212812086FXPC0,4.040133388790379,27500,332,27507,0,100.0,FULLY MET,19,37,5.85,
1D25212812074FXC10,4.034149865370723,23400,331,23255,145,99.4,PARTIAL,18,43,4.72,
1225170015012LSTL0,4.025539429230242,58111,395,58193,0,100.1,FULLY MET,31,71,20.18,
1325119815106QBRQ0,4.0124048656261175,8533,70,8506,27,99.7,PARTIAL,29,71,2.77,
1325219416089HRHE0,4.0102157716920965,17024,0,17024,0,100.0,FULLY MET,16,82,3.05,
1225223516121PSKP0,4.00948607371409,15631,153,15736,0,100.7,FULLY MET,27,56,4.73,
1225170015010LSTL0,4.00948607371409,6500,113,6508,0,100.1,FULLY MET,31,71,2.26,
1325213615099MSXT0,4.009194194522887,6300,0,6300,0,100.0,FULLY MET,16,75,1.13,
1225221715115SSTL0,4.0080266777580755,17346,158,17338,8,100.0,PARTIAL,30,71,5.83,
1D25215Z13008QXPC0,4.007296979780069,11264,0,11264,0,100.0,FULLY MET,20,119,2.52,
1325217514082TVECH,4.001198164079887,2253,3,2241,12,99.5,PARTIAL,18,71,0.45,
1225221716010SXC10,4.00102157716921,1300,0,1300,0,100.0,FULLY MET,15,56,0.22,
1225121716010SXC10,4.0005837583824055,1941,0,1942,0,100.1,FULLY MET,15,56,0.33,
1325213612065SULX1,4.0,2190,131,2192,0,100.1,FULLY MET,16,75,0.39,
1325216814085TURL0,3.002539348963464,6853,0,6854,0,100.0,FULLY MET,15,119,1.15,
1325223916120QRAB0,3.001692899308976,1160,0,1146,14,98.8,PARTIAL,31,43,0.4,
1325226517112HRHT0,3.0009923892500896,3077,0,3078,0,100.0,FULLY MET,17,43,0.59,
1225221615008QXC10,3.0008975285129487,615,151,624,0,101.5,FULLY MET,27,82,0.19,
1325217613082TUNE2,3.0006173244893937,423,185,424,0,100.2,FULLY MET,15,129,0.07,
1325218515088HTMX0,3.000437818786804,22300,136,22306,0,100.0,FULLY MET,16,82,4.0,
1225219015008SLTB0,3.000437818786804,300,0,300,0,100.0,FULLY MET,27,71,0.09,
1325218614088HURL0,3.0002918791912028,3426,0,3426,0,100.0,FULLY MET,17,125,0.65,
1225175016012NJTL0,3.0002378815408304,163,0,164,0,100.6,FULLY MET,43,43,0.08,
1325222317101VUX10,3.000232043957006,172,0,152,20,88.4,PARTIAL,16,82,0.03,
1325220515094VTMX0,3.000145939595601,2261,0,2262,0,100.0,FULLY MET,18,108,0.46,
1325216514079TTMX0,3.000145939595601,5418,0,5375,43,99.2,PARTIAL,17,82,1.03,
1225222615008RXC10,3.0001357238239095,93,0,94,0,101.1,FULLY MET,27,82,0.03,
1325220515094VURL1,3.0001357238239095,93,1,94,0,101.1,FULLY MET,18,108,0.02,
1325217514082TTMX0,3.000102157716921,6562,298,6510,52,99.2,PARTIAL,17,132,1.25,
1325220516095HTMX0,3.0000729697978006,2619,0,2620,0,100.0,FULLY MET,15,82,0.44,
1325223517104HRHT0,3.0000437818786803,8030,38,8106,0,100.9,FULLY MET,19,82,1.71,
1325215813079STMX0,3.0000437818786803,15030,15,15000,30,99.8,PARTIAL,16,129,2.69,
1325222417099HURL0,3.0000437818786803,2059,0,2060,0,100.0,FULLY MET,17,82,0.39,
1225220Z16008RXC10,3.0000291879191203,20,0,20,0,100.0,FULLY MET,27,108,0.01,
1325220416092VURP0,3.000016053355516,11,0,12,0,109.1,FULLY MET,15,82,0.0,
1325221416095VURL0,3.00000729697978,15005,51,15010,0,100.0,FULLY MET,16,108,2.69,
1325214812074TUHL0,2.036484898900345,25000,0,24368,632,97.5,PARTIAL,15,43,4.2,
1325221715100SRHT0,2.029187919120276,20000,96,19824,176,99.1,PARTIAL,18,82,4.03,
1325114812074TUHL0,2.029187919120276,20000,148,20000,0,100.0,FULLY MET,15,43,3.36,
1325216814085STMX0,2.029187919120276,20000,256,19970,30,99.9,PARTIAL,16,132,3.58,
1325216614081STMX0,2.0262691272082485,18000,147,17955,45,99.8,PARTIAL,16,86,3.23,
1325221417100HURL1,2.0262691272082485,18000,325,17964,36,99.8,PARTIAL,20,82,4.03,
1325215813079SUHL0,2.017512751472166,12000,0,11905,95,99.2,PARTIAL,16,129,2.15,
1325215613075TUHL0,2.013426442795327,9200,0,9200,0,100.0,FULLY MET,15,129,1.55,
1425118916008QRBT0,2.0131345636041242,9000,161,8924,76,99.2,PARTIAL,28,71,2.82,
1325219316087VURL0,2.0116751676481104,8000,0,7920,80,99.0,PARTIAL,16,86,1.43,
1325220516095HUTR0,2.0116751676481104,8000,0,7948,52,99.4,PARTIAL,19,82,1.7,
1325123715105SBRT0,2.0116751676481104,8000,0,7664,336,95.8,PARTIAL,21,71,1.88,
1325119015008SRBT0,2.0116751676481104,8000,0,7912,88,98.9,PARTIAL,29,71,2.6,
1325219316087VUTR0,2.0102157716920965,7000,0,6948,52,99.3,PARTIAL,17,82,1.33,
1325220515094VUTR0,2.008899396539772,6098,0,6098,0,100.0,FULLY MET,17,108,1.16,
1325215513073TUHL0,2.0088366425136637,6055,39,6056,0,100.0,FULLY MET,16,129,1.09,
1325121715100SBRT0,2.0087563757360827,6000,12,6038,0,100.6,FULLY MET,21,71,1.41,
1325216614081SUTR0,2.008560816677977,5866,89,5868,0,100.0,FULLY MET,15,86,0.99,
1225121715115SSTL0,2.0082718562786863,5668,0,5324,344,93.9,PARTIAL,30,71,1.9,
1325216814085SUTR0,2.0075611304481074,5181,0,5144,37,99.3,PARTIAL,17,82,0.99,
1325121715100SRBT0,2.007296979780069,5000,0,4780,220,95.6,PARTIAL,15,71,0.84,
1325121715100SRXT0,2.007296979780069,5000,0,5000,0,100.0,FULLY MET,20,108,1.12,
1325217514082TUTR0,2.007296979780069,5000,0,5000,0,100.0,FULLY MET,17,119,0.95,
