Machine,SKUCode,Priority,CycleTime_min,Cycles,Units_Planned,Mins_Used,Days_Used
4407,1D25213812090FXPC0,4.0448,17,2210,4420,37570,26.09
4416,1D25212812086FXPC0,4.0401,19,1060,2120,20140,13.99
4802,1D25212812086FXPC0,4.0401,19,896,1792,17024,11.82
4802,1325214812074TUHL0,2.0365,15,1349,2698,20235,14.05
9201,1D25212812086FXPC0,4.0401,19,565,1130,10735,7.45
9413,1D25212812086FXPC0,4.0401,19,1062,2124,20178,14.01
9414,1D25212812086FXPC0,4.0401,19,706,1412,13414,9.32
14804,1325219416089HRHE0,4.0102,16,1898,3796,30368,21.09
14812,1325219416089HRHE0,4.0102,16,921,1842,14736,10.23
15203,1325219416089HRHE0,4.0102,16,2790,5580,44640,31.0
15211,1325219416089HRHE0,4.0102,16,2662,5324,42592,29.58
15211,1325220416092VURP0,3.0,15,6,12,90,0.06
15211,1325123715105SRXT0,2.0013,20,67,134,1340,0.93
24810,1325219416089HRHE0,4.0102,16,201,402,3216,2.23
24810,1325220516095HUTR0,2.0117,19,591,1182,11229,7.8
14807,1225223516121PSKP0,4.0095,27,646,1292,17442,12.11
14807,1D25215Z13008QXPC0,4.0073,20,914,1828,18280,12.69
75209,1225223516121PSKP0,4.0095,27,546,1092,14742,10.24
75227,1225223516121PSKP0,4.0095,27,1653,3306,44631,30.99
4901,1325213615099MSXT0,4.0092,16,684,1368,10944,7.6
4902,1325213615099MSXT0,4.0092,16,396,792,6336,4.4
4902,1225121Z14112LSTL0,2.0026,33,127,254,4191,2.91
4924,1325213615099MSXT0,4.0092,16,1354,2708,21664,15.04
8606,1325213615099MSXT0,4.0092,16,677,1354,10832,7.52
4402,1225221715115SSTL0,4.008,30,446,892,13380,9.29
4909,1225221715115SSTL0,4.008,30,361,722,10830,7.52
9403,1225221715115SSTL0,4.008,30,116,232,3480,2.42
9403,1225219015008SLTB0,3.0004,27,150,300,4050,2.81
9403,1325123715105SBRT0,2.0117,21,224,448,4704,3.27
9703,1225221715115SSTL0,4.008,30,289,578,8670,6.02
15212,1D25215Z13008QXPC0,4.0073,20,823,1646,16460,11.43
24802,1D25215Z13008QXPC0,4.0073,20,538,1076,10760,7.47
24802,1325219316087VUTR0,2.0102,17,126,252,2142,1.49
24802,1325221417100HURS0,2.0004,15,90,180,1350,0.94
24815,1D25215Z13008QXPC0,4.0073,20,737,1474,14740,10.24
75204,1D25215Z13008QXPC0,4.0073,20,723,1446,14460,10.04
75206,1D25215Z13008QXPC0,4.0073,20,617,1234,12340,8.57
75206,1325217514082TUTR0,2.0073,17,1043,2086,17731,12.31
75219,1D25215Z13008QXPC0,4.0073,20,1216,2432,24320,16.89
14801,1225221716010SXC10,4.001,15,650,1300,9750,6.77
14801,1325216514079TTMX0,3.0001,17,83,166,1411,0.98
75226,1225121716010SXC10,4.0006,15,971,1942,14565,10.11
75226,1325216814085SUTR0,2.0076,17,1090,2180,18530,12.87
14802,1325216814085TURL0,3.0025,15,1391,2782,20865,14.49
14802,1325215613075TUHL0,2.0134,15,161,322,2415,1.68
15205,1325216814085TURL0,3.0025,15,911,1822,13665,9.49
15205,1325222317101VUX10,3.0002,16,48,96,768,0.53
24820,1325216814085TURL0,3.0025,15,1123,2246,16845,11.7
24820,1325215813079STMX0,3.0,16,827,1654,13232,9.19
75207,1325223916120QRAB0,3.0017,31,93,186,2883,2.0
75207,1325219316087VUTR0,2.0102,17,1569,3138,26673,18.52
75207,1325216814085SUTR0,2.0076,17,727,1454,12359,8.58
75215,1325223916120QRAB0,3.0017,31,477,954,14787,10.27
15213,1325226517112HRHT0,3.001,17,1539,3078,26163,18.17
15213,1325222417099HURL0,3.0,17,230,460,3910,2.72
4411,1325218614088HURL0,3.0003,17,1328,2656,22576,15.68
4411,1325216513077TUHL0,2.0044,16,918,1836,14688,10.2
75229,1325218614088HURL0,3.0003,17,381,762,6477,4.5
75229,1325217514082TUTR0,2.0073,17,1389,2778,23613,16.4
75228,1225175016012NJTL0,3.0002,43,82,164,3526,2.45
75228,1325220516095HTMX0,3.0001,15,1310,2620,19650,13.65
24809,1325220515094VTMX0,3.0001,18,1131,2262,20358,14.14
75211,1225222615008RXC10,3.0001,27,47,94,1269,0.88
24823,1325220515094VURL1,3.0001,18,47,94,846,0.59
24823,1325214813075STMX0,2.0057,16,996,1992,15936,11.07
75225,1325222417099HURL0,3.0,17,764,1528,12988,9.02
75225,1325216814085SUTR0,2.0076,17,650,1300,11050,7.67
9507,1325215813079STMX0,3.0,16,138,276,2208,1.53
24804,1325215813079STMX0,3.0,16,913,1826,14608,10.14
24804,1325221417100HURL1,2.0263,20,1486,2972,29720,20.64
4403,1325214812074TUHL0,2.0365,15,893,1786,13395,9.3
4405,1325214812074TUHL0,2.0365,15,893,1786,13395,9.3
4408,1325214812074TUHL0,2.0365,15,1341,2682,20115,13.97
4412,1325214812074TUHL0,2.0365,15,730,1460,10950,7.6
4413,1325214812074TUHL0,2.0365,15,730,1460,10950,7.6
4414,1325214812074TUHL0,2.0365,15,708,1416,10620,7.38
4414,1225119015010QSTL0,2.0025,31,1,2,31,0.02
4801,1325214812074TUHL0,2.0365,15,856,1712,12840,8.92
9406,1325214812074TUHL0,2.0365,15,448,896,6720,4.67
9407,1325214812074TUHL0,2.0365,15,2976,5952,44640,31.0
9412,1325214812074TUHL0,2.0365,15,730,1460,10950,7.6
9504,1325214812074TUHL0,2.0365,15,456,912,6840,4.75
