Machine,Available_Mins,Used_Mins,Idle_Mins,Utilization_Pct,SKUs_Count,Total_Cycles,Total_Units
8603,44640,44640.0,0.0,100.0,1,0.0,2976
14813,44640,44640.0,0.0,100.0,1,2976.0,5952
15203,44640,44640.0,0.0,100.0,1,2790.0,5580
9407,44640,44640.0,0.0,100.0,1,2976.0,5952
8701,44640,44640.0,0.0,100.0,1,0.0,2976
4908,44640,44640.0,0.0,100.0,1,0.0,2976
9202,44640,44640.0,0.0,100.0,1,0.0,2976
9409,44640,44631.0,9.0,99.98,1,0.0,4742
14810,44640,44631.0,9.0,99.98,1,0.0,3347
4921,44640,44631.0,9.0,99.98,1,1539.0,3078
75227,44640,44631.0,9.0,99.98,1,1653.0,3306
8702,44640,44631.0,9.0,99.98,1,1539.0,3078
75220,44640,44625.0,15.0,99.97,1,0.0,5207
4905,44640,44625.0,15.0,99.97,1,2125.0,4250
4415,44640,44520.0,120.0,99.73,1,0.0,5194
24818,44640,44520.0,120.0,99.73,1,0.0,5565
8602,44640,44520.0,120.0,99.73,1,0.0,2968
14805,44640,44520.0,120.0,99.73,1,0.0,4916
14808,44640,44520.0,120.0,99.73,1,0.0,3336
4404,44640,44520.0,120.0,99.73,1,0.0,5195
9408,44640,44520.0,120.0,99.73,1,0.0,4727
4406,44640,44520.0,120.0,99.73,1,0.0,4730
15206,44640,44520.0,120.0,99.73,1,0.0,4916
15208,44640,44520.0,120.0,99.73,1,0.0,3339
4409,44640,44520.0,120.0,99.73,1,0.0,5194
15210,44640,44520.0,120.0,99.73,1,0.0,4916
24803,44640,44520.0,120.0,99.73,1,0.0,5565
9411,44640,44520.0,120.0,99.73,1,0.0,4730
75223,44640,44520.0,120.0,99.73,1,0.0,4452
9804,44640,44520.0,120.0,99.73,1,0.0,5565
54804,44640,44520.0,120.0,99.73,1,0.0,5565
54803,44640,44520.0,120.0,99.73,1,0.0,5565
75216,44640,44520.0,120.0,99.73,1,0.0,4452
75212,44640,44520.0,120.0,99.73,1,0.0,4452
75208,44640,44520.0,120.0,99.73,1,0.0,4916
14803,44640,44520.0,120.0,99.73,1,0.0,5565
75230,44640,44520.0,120.0,99.73,1,0.0,5565
9503,44640,44520.0,120.0,99.73,1,0.0,5194
9502,44640,44520.0,120.0,99.73,1,0.0,5194
9802,44640,44520.0,120.0,99.73,1,0.0,5565
4911,44640,44340.0,300.0,99.33,2,856.0,4731
4408,44640,44339.0,301.0,99.33,2,1341.0,5710
9201,44640,44339.0,301.0,99.33,2,565.0,3300
9506,44640,44340.0,300.0,99.33,2,148.0,4947
4801,44640,44340.0,300.0,99.33,2,856.0,3943
9505,44640,44340.0,300.0,99.33,2,148.0,4947
9504,44640,44340.0,300.0,99.33,2,456.0,5912
9413,44640,44335.0,305.0,99.32,2,1062.0,3785
4403,44640,44338.0,302.0,99.32,2,893.0,3913
4912,44640,44337.0,303.0,99.32,2,389.0,3797
24819,44640,44336.0,304.0,99.32,2,2656.0,5496
4405,44640,44338.0,302.0,99.32,2,893.0,3913
4407,44640,44338.0,302.0,99.32,2,2210.0,5167
75219,44640,44336.0,304.0,99.32,2,1216.0,4934
4901,44640,44331.0,309.0,99.31,2,684.0,3524
15209,44640,44330.0,310.0,99.31,2,1885.0,4544
75221,44640,44327.0,313.0,99.3,2,325.0,4703
9414,44640,44328.0,312.0,99.3,2,706.0,3537
75222,44640,44328.0,312.0,99.3,2,2570.0,5140
24804,44640,44328.0,312.0,99.3,2,2399.0,4798
4416,44640,44326.0,314.0,99.3,2,1060.0,3783
9507,44640,44328.0,312.0,99.3,2,138.0,4927
4402,44640,44323.0,317.0,99.29,2,446.0,3019
54801,44640,44325.0,315.0,99.29,2,2357.0,5486
24822,44640,44325.0,315.0,99.29,2,1116.0,5166
24814,44640,44324.0,316.0,99.29,2,2236.0,4656
14804,44640,44325.0,315.0,99.29,2,1898.0,5424
4401,44640,44325.0,315.0,99.29,2,1113.0,3684
9203,44640,44321.0,319.0,99.29,2,71.0,4793
9406,44640,44220.0,420.0,99.06,2,448.0,5896
8606,44640,44219.0,421.0,99.06,2,677.0,3510
75209,44640,44217.0,423.0,99.05,2,546.0,5022
4909,44640,44217.0,423.0,99.05,2,361.0,2878
24815,44640,44215.0,425.0,99.05,2,737.0,5404
14812,44640,44211.0,429.0,99.04,2,921.0,5772
75204,44640,44204.0,436.0,99.02,2,723.0,5164
9405,44640,44196.0,444.0,99.01,2,216.0,5432
9410,44640,44197.0,443.0,99.01,2,67.0,4785
4412,44640,44127.0,513.0,98.85,2,730.0,3588
4413,44640,44127.0,513.0,98.85,2,730.0,3588
24801,44640,44078.0,562.0,98.74,2,1117.0,5234
14807,44640,44038.0,602.0,98.65,3,1560.0,3744
24820,44640,44034.0,606.0,98.64,3,1950.0,5528
4906,44640,44031.0,609.0,98.64,3,1079.0,3821
75205,44640,44034.0,606.0,98.64,3,1550.0,5602
75226,44640,44030.0,610.0,98.63,3,2061.0,5580
75229,44640,44030.0,610.0,98.63,3,1770.0,5166
4802,44640,44027.0,613.0,98.63,3,2245.0,5237
75206,44640,44028.0,612.0,98.63,3,1660.0,4948
15213,44640,44030.0,610.0,98.63,3,1769.0,5166
15211,44640,44022.0,618.0,98.62,3,2735.0,5470
9404,44640,44013.0,627.0,98.6,3,1410.0,2820
4414,44640,44007.0,633.0,98.58,2,709.0,3572
75215,44640,44000.0,640.0,98.57,2,477.0,4864
24810,44640,43920.0,720.0,98.39,3,792.0,5514
4411,44640,43920.0,720.0,98.39,3,2246.0,5225
15207,44640,43919.0,721.0,98.38,3,1419.0,5340
75201,44640,43912.0,728.0,98.37,3,805.0,5328
4902,44640,43914.0,726.0,98.37,3,523.0,3203
9402,44640,43908.0,732.0,98.36,3,276.0,5552
15204,44640,43894.0,746.0,98.33,2,1787.0,5150
75218,44640,43842.0,798.0,98.21,2,768.0,5202
15205,44640,43748.0,892.0,98.0,3,959.0,5828
75207,44640,43735.0,905.0,97.97,4,2389.0,4960
9403,44640,43734.0,906.0,97.97,4,490.0,3211
24802,44640,43727.0,913.0,97.95,4,754.0,5438
75225,44640,43715.0,925.0,97.93,3,1414.0,5290
9412,44640,43647.0,993.0,97.78,2,730.0,3524
4919,44640,43624.0,1016.0,97.72,2,373.0,2862
4907,44640,43624.0,1016.0,97.72,2,377.0,2862
24807,44640,43571.0,1069.0,97.61,2,929.0,5692
24825,44640,43571.0,1069.0,97.61,2,921.0,5692
75203,44640,43571.0,1069.0,97.61,2,921.0,5692
75224,44640,43520.0,1120.0,97.49,3,894.0,5440
9002,44640,43319.0,1321.0,97.04,3,353.0,2816
4918,44640,43167.0,1473.0,96.7,2,365.0,2808
4417,44640,43167.0,1473.0,96.7,2,356.0,2808
4916,44640,43152.0,1488.0,96.67,2,521.0,3086
4410,44640,43152.0,1488.0,96.67,2,521.0,3086
4903,44640,43152.0,1488.0,96.67,2,521.0,3086
14806,44640,42768.0,1872.0,95.81,2,2673.0,5346
4922,44640,42687.0,1953.0,95.62,2,354.0,2776
9701,44640,42687.0,1953.0,95.62,2,730.0,3396
4925,44640,42660.0,1980.0,95.56,2,328.0,2718
24811,44640,42611.0,2029.0,95.45,2,921.0,5572
9704,44640,42377.0,2263.0,94.93,2,371.0,2756
24809,44640,42363.0,2277.0,94.9,2,1131.0,5196
9001,44640,42193.0,2447.0,94.52,2,322.0,2674
9401,44640,42191.0,2449.0,94.51,2,353.0,2724
9703,44640,42057.0,2583.0,94.21,2,289.0,2734
15202,44640,41110.0,3530.0,92.09,2,2074.0,4148
75213,44640,40784.0,3856.0,91.36,2,690.0,5098
75214,44640,39262.0,5378.0,87.95,2,74.0,4201
24816,44640,34497.0,10143.0,77.28,2,279.0,4488
4923,44640,33604.0,11036.0,75.28,1,0.0,2170
