MouldNo,Compatible_SKUs,Life_Remaining,Assigned_Machine
B11570R14STAXTDC01,1325211615088MSXT0,3000,FREE
B11570R14STAXTGR01,1325211615088MSXT0,3000,FREE
B11570R14STAXTMK01,1325211615088MSXT0,3000,FREE
B11570R14STAXTMK02,1325211615088MSXT0,3000,FREE
B11570R14STAXTMK03,1325211615088MSXT0,3000,FREE
B11570R14STAXTMK04,1325211615088MSXT0,3000,FREE
B11570R14STAXTMK05,1325211615088MSXT0,3000,FREE
B1208012ULTXPCHM01,1D25212812086FXPC0,2267,9408
B1208012ULTXPCHM02,1D25212812086FXPC0,2267,9408
B1208012ULXPC1GC01,1D25212812074FXC10,1221,9410
B1208012ULXPC1GC02,1D25212812074FXC10,3000,FREE
B1208012ULXPC1GC03,1D25212812074FXC10,1221,9410
B1208012ULXPC1GC04,1D25212812074FXC10,2708,9506
B1208012ULXPC1GC05,1D25212812074FXC10,2919,9505
B1208012ULXPC1GC06,1D25212812074FXC10,2555,9507
B1208012UXPC1HMI01,"1D25212812074FXC10, 1H25212812066SXC10",2919,9505
B1208012UXPC1HMI02,"1D25212812074FXC10, 1H25212812066SXC10",2708,9506
B13080R12ULXPCGC01,1D25213812090FXPC0,1743,9503
B13080R12ULXPCGC02,1D25213812090FXPC0,1142,4409
B13080R12ULXPCGC03,1D25213812090FXPC0,1315,9502
B13080R12ULXPCGC04,1D25213812090FXPC0,3000,FREE
B13080R12UXPCHMI01,1D25213812090FXPC0,1142,4409
B13080R12UXPCHMI02,1D25213812090FXPC0,1315,9502
B13080R12UXPCHMI03,1D25213812090FXPC0,3000,FREE
B13080R12UXPCHMI04,1D25213812090FXPC0,806,4404
B13080R12UXPCHMI05,1D25213812090FXPC0,1417,4415
B13080R12UXPCHMI06,1D25213812090FXPC0,1417,4415
B13080R12UXPCHMI07,1D25213812090FXPC0,806,4404
B13080R12UXPCHMI08,1D25213812090FXPC0,1743,9503
B1357012ULTLXTMK04,"1325213612065SULX0, 1325213612065SULX1, 1325213612069SULXT",3000,FREE
B1357012ULTLXTMK05,"1325213612065SULX0, 1325213612065SULX1, 1325213612069SULXT",3000,FREE
B1357012ULTLXTMK06,"1325213612065SULX0, 1325213612065SULX1, 1325213612069SULXT",3000,FREE
B1357012ULTLXTMK07,"1325213612065SULX0, 1325213612065SULX1, 1325213612065SULXT, 1325213612069SULXT",3000,FREE
B13570R15STRXTHM01,1325213615099MSXT0,3000,FREE
B13570R15STRXTHM02,1325213615099MSXT0,3000,FREE
B13570R15STRXTHM03,1325213615099MSXT0,3000,FREE
B13570R15STRXTHM04,1325213615099MSXT0,3000,FREE
B13570R15STRXTSX01,1325213615099MSXT0,3000,FREE
B13570R15STRXTSX02,1325213615099MSXT0,3000,FREE
B13570R15STRXTSX03,1325213615099MSXT0,3000,FREE
B13570R15STRXTSX04,1325213615099MSXT0,3000,FREE
B13570R15STRXTSX05,1325213615099MSXT0,3000,FREE
B13570R15STRXTSX06,1325213615099MSXT0,3000,FREE
B14512STKINGLTGC01,"1D25114012008QSTL0, 1D25214012008QSTL0",2949,9404
B14512STKINGLTGC02,"1D25114012008QSTL0, 1D25214012008QSTL0",2949,9404
B14512ULTXPC1HMI01,1D25214012006QXC10,3000,FREE
B14512ULTXPC1HMI02,1D25214012006QXC10,3000,FREE
B1457012ULTIMADC09,"1325114612069TCUL0, 1325214612069TCUL0",3000,FREE
B1457012ULTIMADC11,"1325114612069TCUL0, 1325214612069TCUL0",3000,FREE
B1457012ULTIMADC13,"1325114612069TCUL0, 1325214612069TCUL0",3000,FREE
B1457012ULTIMADC20,"1325114612069TCUL0, 1325214612069TCUL0",3000,FREE
B1457012ULTIXPDC06,1325114612069TULX0,3000,FREE
B1457012ULTIXPDC08,"1325114612069TULX0, 1325214612069TULT0",3000,FREE
B1457012ULTIXPDC09,"1325114612069TULX0, 1325214612069TULT0",3000,FREE
B1457012ULTIXPMK01,1325114612069TULX0,3000,FREE
B1457012ULTIXPMK05,1325114612069TULX0,3000,FREE
B1457012ULTIXPMK09,1325114612069TULX0,3000,FREE
B1457012ULTNXTDC01,"1325114612069TUNX0, 1325214612069TUNX0",3000,FREE
B1457012ULTNXTDC02,"1325114612069TUNX0, 1325214612069TUNX0",3000,FREE
B1457012ULTNXTNS02,"1325114612069TUNX0, 1325214612069TUNX0",3000,FREE
B1457012ULTNXTNS03,"1325114612069TUNX0, 1325214612069TUNX0",3000,FREE
B1457013TAXIMXHM01,"1325114613071TTMX0, 1325214613071TTMX0",2591,4401
B1457013TAXIMXHM02,"1325114613071TTMX0, 1325214613071TTMX0",2591,4401
B1457013TAXMXHMI03,"1325114613071TTMX0, 1325214613071TTMX0",2603,75226
B1457013TAXMXHMI04,"1325114613071TTMX0, 1325214613071TTMX0",2603,75226
B1457013ULTIMADC10,"1325114613071TCUL0, 1325214613071TCUL0",3000,FREE
B1457013ULTIMADC14,"1325114613071TCUL0, 1325214613071TCUL0",3000,FREE
B1457013ULTNXTGR03,"1325114613071TUNX0, 1325214613071TUNX0",3000,FREE
B1457013ULTNXTGR04,"1325114613071TUNX0, 1325214613071TUNX0",3000,FREE
B1457013ULTNXTNS01,"1325114613071TUNX0, 1325214613071TUNX0",3000,FREE
B1457013ULTNXTNS02,"1325114613071TUNX0, 1325214613071TUNX0",3000,FREE
B1457013ULTXPBDC01,"1325114613071TULT0, 1325214613071TULN0",3000,FREE
B1457013ULTXPBDC02,"1325114613071TULT0, 1325214613071TULN0",3000,FREE
B1457013ULTXPBDC03,"1325114613071TULT0, 1325214613071TULN0",3000,FREE
B1457013ULTXPBDC04,"1325114613071TULT0, 1325214613071TULN0",3000,FREE
B1457013ULTXPBSY04,"1325114613071TULT0, 1325214613071TULN0",3000,FREE
B14570R12UHFTLTY01,"1325114612069TUHL0, 1325214612069TUHL0",3000,FREE
