Machine,SKUCode,Priority,CycleTime_min,Cycles,Units_Planned,Mins_Used,Days_Used
3611,1325221318095HURL0,2.0521,19,223,446,4237,2.94
3611,1325225518111HRHB0,2.0466,18,36,72,648,0.45
3611,1325221715100SRAT0,1.0169,19,549,1098,10431,7.24
4509,1325221318095HURL0,2.0521,19,295,590,5605,3.89
4602,1325221318095HURL0,2.0521,19,1165,2330,22135,15.37
6009,1325221318095HURL0,2.0521,19,297,594,5643,3.92
3609,1325225518111HRHB0,2.0466,18,891,1782,16038,11.14
3616,1325225518111HRHB0,2.0466,18,881,1762,15858,11.01
4607,1325225518111HRHB0,2.0466,18,881,1762,15858,11.01
4843,1325225518111HRHB0,2.0466,18,2400,4800,43200,30.0
4601,1D25215013008SXC1T,2.0321,20,740,1480,14800,10.28
4601,1325222318098HRHE0,2.0136,18,177,354,3186,2.21
4603,1D25215013008SXC1T,2.0321,20,1530,3060,30600,21.25
4604,1D25215013008SXC1T,2.0321,20,26,52,520,0.36
4606,1D25215013008SXC1T,2.0321,20,802,1604,16040,11.14
4609,1D25215013008SXC1T,2.0321,20,806,1612,16120,11.19
4801,1D25215013008SXC1T,2.0321,20,554,1108,11080,7.69
4814,1D25215013008SXC1T,2.0321,20,56,112,1120,0.78
4818,1D25215013008SXC1T,2.0321,20,47,94,940,0.65
4825,1D25215013008SXC1T,2.0321,20,47,94,940,0.65
4831,1D25215013008SXC1T,2.0321,20,47,94,940,0.65
4835,1D25215013008SXC1T,2.0321,20,56,112,1120,0.78
4836,1D25215013008SXC1T,2.0321,20,56,112,1120,0.78
4844,1D25215013008SXC1T,2.0321,20,56,112,1120,0.78
4845,1D25215013008SXC1T,2.0321,20,56,112,1120,0.78
4852,1D25215013008SXC1T,2.0321,20,50,100,1000,0.69
5201,1D25215013008SXC1T,2.0321,20,1464,2928,29280,20.33
5202,1D25215013008SXC1T,2.0321,20,172,344,3440,2.39
4501,1325222318098HRHE0,2.0136,18,63,126,1134,0.79
4511,1325222318098HRHE0,2.0136,18,301,602,5418,3.76
4515,1325222318098HRHE0,2.0136,18,246,492,4428,3.08
4515,1325221715100SRAT0,1.0169,19,34,68,646,0.45
4810,1325216613079HUNE0,2.0114,15,2446,4892,36690,25.48
4809,1325214812074TUHL0,1.0394,15,138,276,2070,1.44
4815,1325214812074TUHL0,1.0394,15,2061,4122,30915,21.47
4840,1325214812074TUHL0,1.0394,15,242,484,3630,2.52
4842,1325214812074TUHL0,1.0394,15,138,276,2070,1.44
3612,1325224716111SELS0,1.0364,19,844,1688,16036,11.14
3614,1325224716111SELS0,1.0364,19,834,1668,15846,11.0
4502,1325224716111SELS0,1.0364,19,286,572,5434,3.77
4503,1325224716111SELS0,1.0364,19,286,572,5434,3.77
4504,1325224716111SELS0,1.0364,19,286,572,5434,3.77
4506,1325224716111SELS0,1.0364,19,50,100,950,0.66
4507,1325224716111SELS0,1.0364,19,17,34,323,0.22
4507,1325221715100SRAT0,1.0169,19,1198,2396,22762,15.81
4507,1325223616105TRAT0,1.0084,20,339,678,6780,4.71
4510,1325224716111SELS0,1.0364,19,50,100,950,0.66
4512,1325224716111SELS0,1.0364,19,50,100,950,0.66
4513,1325224716111SELS0,1.0364,19,286,572,5434,3.77
4514,1325224716111SELS0,1.0364,19,50,100,950,0.66
4610,1325224716111SELS0,1.0364,19,1541,3082,29279,20.33
4804,1325224716111SELS0,1.0364,19,583,1166,11077,7.69
4817,1325224716111SELS0,1.0364,19,1948,3896,37012,25.7
4841,1325224716111SELS0,1.0364,19,99,198,1881,1.31
5203,1325224716111SELS0,1.0364,19,270,540,5130,3.56
3610,1325221715100SRAT0,1.0169,19,844,1688,16036,11.14
3615,1325221715100SRAT0,1.0169,19,844,1688,16036,11.14
4807,1D25114012008QXPC0,1.0094,19,1408,2816,26752,18.58
4849,1D25114012008QXPC0,1.0094,19,574,1148,10906,7.57
3613,1325223616105TRAT0,1.0084,20,802,1604,16040,11.14
4803,1325223616105TRAT0,1.0084,20,554,1108,11080,7.69
4820,1D25218Z14008QXPC0,1.0047,25,734,1468,18350,12.74
4837,1D25218Z14008QXPC0,1.0047,25,162,324,4050,2.81
4839,1D25218Z14008QXPC0,1.0047,25,75,150,1875,1.3
4829,1325221416095VURP0,1.0027,15,138,276,2070,1.44
4816,1325216612077TUSP0,1.0024,16,118,236,1888,1.31
4822,1325216612077TUSP0,1.0024,16,215,430,3440,2.39
4848,1325216612077TUSP0,1.0024,16,118,236,1888,1.31
4808,1325214812074TUHL0,1.0394,15,86,172,1290,0.9
4808,1D25114012008QXPC0,1.0094,19,20,40,380,0.26
4850,1D25218Z14008QXPC0,1.0047,25,30,60,750,0.52
4808,1325216612077TUSP0,1.0024,16,56,112,896,0.62
