MouldNo,Compatible_SKUs,Life_Remaining,Assigned_Machine
C18565R15VECTLGR01,1325218515088TVEC0,3000,FREE
C18565R15VECTLGR02,1325218515088TVEC0,3000,FREE
C18565R15VECTLMK03,1325218515088TVEC0,3000,FREE
C18565R15VECTLMK04,1325218515088TVEC0,3000,FREE
C18565R15VECTLMK06,1325218515088TVEC0,3000,FREE
C18565R15VECTLMK07,1325218515088TVEC0,3000,FREE
C18565R15VECTLMK08,1325218515088TVEC0,3000,FREE
C18565R15VECTLMK02,1325218515088TVEC1,3000,FREE
C18565R15VETLBMK01,1325218515088TVEC1,3000,FREE
C19555R15UX1TLGC01,"1325219315085VUX10, 1325219315089VUX10",3000,FREE
C19555R15UX1TLGC02,"1325219315085VUX10, 1325219315089VUX10",3000,FREE
C19560R15UX1TLGC01,"1325219415088VUX10, 1325219415092VUX10",3000,FREE
C19560R15UX1TLGC03,"1325219415088VUX10, 1325219415092VUX10",3000,FREE
C195R15UXPC1TLGC01,1225219Z15008SXC10,3000,FREE
C195R15UXPC1TLGC02,1225219Z15008SXC10,3000,FREE
C195R15UXPC1TLGC03,1225219Z15008SXC10,3000,FREE
C195R15UXPC1TLGC04,1225219Z15008SXC10,3000,FREE
C23575R15BXATHM01,"1225223715104RBET0, 1325223715104RBXT0, 1325223715104RRXT0",3000,FREE
C23575R15BXATHM02,"1225223715104RBET0, 1325223715104RBXT0, 1325223715104RRXT0",3000,FREE
C31105R15RATTLGC01,1325210015109QRAT0,3000,FREE
C31105R15RATTLGC02,1325210015109QRAT0,3000,FREE
C19565R15ALPTLGC01,1325219515091VUXA0,3000,FREE
C20555R16UXRTLHM01,"1325220316091VURL0, 1325220316091VUX10",3000,FREE
C20555R16UXRTLHM02,"1325220316091VURL0, 1325220316091VUX10",3000,FREE
C20560R15UX1TLGC01,"1325220415091VUX10, 1325220415095VUX10",3000,FREE
C20560R15UX1TLGC02,"1325220415091VUX10, 1325220415095VUX10",3000,FREE
C20560R16RHTHM01,1325220416092HRHT0,3000,FREE
C20560R16RHTHM02,1325220416092HRHT0,3000,FREE
C20570R15RATTLHM01,1325220615106SRAT0,3000,FREE
C20570R15RATTLHM02,1325220615106SRAT0,3000,FREE
C21565R16RHTTLGC01,"1325221516098HBHT0, 1325221516098HRHT0",3000,FREE
C21565R16RHTTLGC02,"1325221516098HBHT0, 1325221516098HRHT0",3000,FREE
C21565R16RHTTLGC03,"1325221516098HBHT0, 1325221516098HRHT0",3000,FREE
C21565R16RHTTLGC04,"1325221516098HBHT0, 1325221516098HRHT0",3000,FREE
C22555R18RHPEHMI01,1325222318098HRHE0,3000,FREE
C22555R18RHPEHMI02,1325222318098HRHE0,3000,FREE
C22555R18RHPEHMI03,1325222318098HRHE0,3000,FREE
C22555R18RHPEHMI04,1325222318098HRHE0,3000,FREE
C22555R18RHPEHMI05,1325222318098HRHE0,3000,FREE
C22555R18RHPEHMI06,1325222318098HRHE0,3000,FREE
C22555R18RHPEHMI07,1325222318098HRHE0,3000,FREE
C22555R18RHPEHMI08,1325222318098HRHE0,3000,FREE
C22555R18RHPEHMI09,1325222318098HRHE0,3000,FREE
C22555R18RHPEHMI10,1325222318098HRHE0,3000,FREE
C21570R15RATTLGC01,1325221615109SRAT0,3000,FREE
C21570R15RATTLGC02,1325221615109SRAT0,3000,FREE
C21575R15RATTLGC01,"1325221715100SRAT0, 1325221715100SRAT1",3000,FREE
C21575R15RATTLGC02,"1325221715100SRAT0, 1325221715100SRAT1",3000,FREE
C21575R15RATTLHM01,"1325221715100SRAT0, 1325221715100SRAT1",3000,FREE
C21575R15RATTLHM02,"1325221715100SRAT0, 1325221715100SRAT1",3000,FREE
C21575R15RHTTGC01,"1325221715100SBHT0, 1325221715100SRHT0, 1325221715100SRHT1",3000,FREE
C21575R15RHTTGC02,"1325221715100SBHT0, 1325221715100SRHT0, 1325221715100SRHT1",3000,FREE
C21575R15RHTTLHM01,"1325221715100SRHT0, 1325221715100SRHT1",3000,FREE
C21575R15RHTTLHM02,"1325221715100SRHT0, 1325221715100SRHT1",3000,FREE
C21575R16RHTTLHM01,"1325221716101TBHT0, 1325221716101TRHT0",3000,FREE
C21575R16RHTTLHM02,"1325221716101TBHT0, 1325221716101TRHT0",3000,FREE
C22565R17RHTTLHM01,"1325222517102HBHT0, 1325222517102HRHT0",3000,FREE
C22565R17RHTTLHM02,"1325222517102HBHT0, 1325222517102HRHT0",3000,FREE
C23570R16RATTLGC01,"1325223616105TRAT0, 1325223616105TRAT1",3000,FREE
C23570R16RATTLGC02,"1325223616105TRAT0, 1325223616105TRAT1",3000,FREE
C23570R16ELZTLSY04,1325223616109SELZ0,3000,FREE
C23570R16ELZTLSY11,1325223616109SELZ0,3000,FREE
C23575R15RHTTLHM01,"1325223715105TBHT0, 1325223715105TRHT0",3000,FREE
C23575R15RHTTLHM02,"1325223715105TBHT0, 1325223715105TRHT0",3000,FREE
C24575R16SUPTBMK01,"1325224716111SELS0, 1325224716111SELSE",3000,FREE
C26570R16RHTHM01,"1325226616111TBHT0, 1325226616111TRHT0",3000,FREE
C26570R16RHTHM02,"1325226616111TBHT0, 1325226616111TRHT0",3000,FREE
C26575R16RHTTLGC01,"1325226716114TBHT0, 1325226716114TRHT0",3000,FREE
C26575R16RHTTLGC02,"1325226716114TBHT0, 1325226716114TRHT0",3000,FREE
C27570R16RHTTLGC01,"1325227616114TBHT0, 1325227616114TRHT0",3000,FREE
C27570R16RHTTLGC02,"1325227616114TBHT0, 1325227616114TRHT0",3000,FREE
C10R20JSJDC316GC06,1121110020016KDC30,3000,FREE
C27570R225JTHHM02,"115222762C016LTH10, 115222762C016LVT10, 115222762C018JTH10",3000,FREE
C155R13ULTXPC1SM01,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C155R13ULTXPC1SM02,"1225215013008SXC10, 1D25215013008SXC10, 1D25215013008SXC1T",3000,FREE
C11R20JDCXDGC11,1121111020016KCXD0,3000,FREE
C11R20JDCXDGC12,1121111020016KCXD0,3000,FREE
C11R20JDCXDGC13,1121111020016KCXD0,3000,FREE
C21560R17UXRTLHM30,1325221417096HURL0,3000,FREE
R0011R20JDCXDHMI02,1121111020016KCXD0,3000,FREE
R00011R20JDCXDGC04,1121111020016KCXD0,3000,FREE
C10R20JSJDE16GC05,1121110020016KDEP0,3000,FREE
C10R20JSJDE16GC10,1121110020016KDEP0,3000,FREE
C10R20JSJDE16GC13,1121110020016KDEP0,3000,FREE
R0000010R20JDEGR06,1121110020016KDEP0,3000,FREE
R0000010R20JDEGR10,1121110020016KDEP0,3000,FREE
R0000010R20JDEGR15,1121110020016KDEP0,3000,FREE
R0000010R20JDEHM05,1121110020016KDEP0,3000,FREE
R0000010R20JDEHM13,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM23,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM25,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM27,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM29,1121110020016KDEP0,3000,FREE
C10R20JSJDE16HM32,1121110020016KDEP0,3000,FREE
C11R20JDCXDGC14,1121111020016KCXD0,3000,FREE
C10R20JS12116HM02,"1121129A20152J1211, 1121129A20152JDLF0",3000,FREE
C21560R17UXRTLGC05,1325221417096HURL0,3000,FREE
C10R20JSJDCXDHM12,"1121129A20152JCXD0, 1151110020016KCXD0",3000,FREE
C10R20JSJDCXDHM15,"1121129A20152JCXD0, 1151110020016KCXD0",3000,FREE
C10R20JSJDCXDHM11,"1121129A20152JCXD0, 1151110020016KCXD0",3000,FREE
C10R20JSJDCXDHM13,"1121129A20152JCXD0, 1151110020016KCXD0",3000,FREE
C10R20JSJDCXDHM14,"1121129A20152JCXD0, 1151110020016KCXD0",3000,FREE
C10R20JSJDCXDHM16,"1121129A20152JCXD0, 1151110020016KCXD0",3000,FREE
C10R20JW30216HM01,"1123110020016K3021, 1123129A20000J3021, 1123129A20000JUCM0, 1123129A20152JUCM0",3000,FREE
C10R20JW30216HM02,"1123110020016K3021, 1123129A20000J3021, 1123129A20000JUCM0, 1123129A20152JUCM0",3000,FREE
R000011R20JUC3HM09,1123111020016KJC30,3000,FREE
