Machine,SKUCode,Priority,CycleTime_min,Cycles,Units_Planned,Mins_Used,Days_Used
3611,1325221318095HURL0,2.0521,19,223,446,4237,2.94
3611,1325225518111HRHB0,2.0466,18,36,72,648,0.45
3611,1325221715100SRAT0,1.0169,19,606,1212,11514,8.0
4509,1325221318095HURL0,2.0521,19,314,628,5966,4.14
4602,1325221318095HURL0,2.0521,19,1184,2368,22496,15.62
6009,1325221318095HURL0,2.0521,19,316,632,6004,4.17
3609,1325225518111HRHB0,2.0466,18,911,1822,16398,11.39
3616,1325225518111HRHB0,2.0466,18,901,1802,16218,11.26
4607,1325225518111HRHB0,2.0466,18,901,1802,16218,11.26
4843,1325225518111HRHB0,2.0466,18,2400,4800,43200,30.0
4601,1D25215013008SXC1T,2.0321,20,740,1480,14800,10.28
4601,1325222318098HRHE0,2.0136,18,217,434,3906,2.71
4603,1D25215013008SXC1T,2.0321,20,1548,3096,30960,21.5
4604,1D25215013008SXC1T,2.0321,20,44,88,880,0.61
4606,1D25215013008SXC1T,2.0321,20,820,1640,16400,11.39
4609,1D25215013008SXC1T,2.0321,20,824,1648,16480,11.44
4801,1D25215013008SXC1T,2.0321,20,572,1144,11440,7.94
4814,1D25215013008SXC1T,2.0321,20,74,148,1480,1.03
4818,1D25215013008SXC1T,2.0321,20,65,130,1300,0.9
4825,1D25215013008SXC1T,2.0321,20,65,130,1300,0.9
4831,1D25215013008SXC1T,2.0321,20,65,130,1300,0.9
4835,1D25215013008SXC1T,2.0321,20,74,148,1480,1.03
4836,1D25215013008SXC1T,2.0321,20,74,148,1480,1.03
4844,1D25215013008SXC1T,2.0321,20,74,148,1480,1.03
4845,1D25215013008SXC1T,2.0321,20,74,148,1480,1.03
4852,1D25215013008SXC1T,2.0321,20,68,136,1360,0.94
5201,1D25215013008SXC1T,2.0321,20,1482,2964,29640,20.58
5202,1D25215013008SXC1T,2.0321,20,190,380,3800,2.64
4501,1325222318098HRHE0,2.0136,18,83,166,1494,1.04
4511,1325222318098HRHE0,2.0136,18,321,642,5778,4.01
4515,1325222318098HRHE0,2.0136,18,246,492,4428,3.08
4515,1325221715100SRAT0,1.0169,19,71,142,1349,0.94
4810,1325216613079HUNE0,2.0114,15,2446,4892,36690,25.48
4809,1325214812074TUHL0,1.0394,15,162,324,2430,1.69
4815,1325214812074TUHL0,1.0394,15,2074,4148,31110,21.6
4815,1325216612077TUSP0,1.0024,16,10,20,160,0.11
4840,1325214812074TUHL0,1.0394,15,266,532,3990,2.77
4842,1325214812074TUHL0,1.0394,15,162,324,2430,1.69
3612,1325224716111SELS0,1.0364,19,863,1726,16397,11.39
3614,1325224716111SELS0,1.0364,19,853,1706,16207,11.25
4502,1325224716111SELS0,1.0364,19,304,608,5776,4.01
4503,1325224716111SELS0,1.0364,19,304,608,5776,4.01
4504,1325224716111SELS0,1.0364,19,304,608,5776,4.01
4506,1325224716111SELS0,1.0364,19,69,138,1311,0.91
4507,1325224716111SELS0,1.0364,19,17,34,323,0.22
4507,1325221715100SRAT0,1.0169,19,1198,2396,22762,15.81
4507,1325223616105TRAT0,1.0084,20,392,784,7840,5.44
4510,1325224716111SELS0,1.0364,19,69,138,1311,0.91
4512,1325224716111SELS0,1.0364,19,69,138,1311,0.91
4513,1325224716111SELS0,1.0364,19,304,608,5776,4.01
4514,1325224716111SELS0,1.0364,19,69,138,1311,0.91
4610,1325224716111SELS0,1.0364,19,1560,3120,29640,20.58
4804,1325224716111SELS0,1.0364,19,602,1204,11438,7.94
4817,1325224716111SELS0,1.0364,19,1967,3934,37373,25.95
4841,1325224716111SELS0,1.0364,19,118,236,2242,1.56
5203,1325224716111SELS0,1.0364,19,289,578,5491,3.81
3610,1325221715100SRAT0,1.0169,19,863,1726,16397,11.39
3615,1325221715100SRAT0,1.0169,19,863,1726,16397,11.39
4807,1D25114012008QXPC0,1.0094,19,1427,2854,27113,18.83
4849,1D25114012008QXPC0,1.0094,19,574,1148,10906,7.57
3613,1325223616105TRAT0,1.0084,20,820,1640,16400,11.39
4803,1325223616105TRAT0,1.0084,20,572,1144,11440,7.94
4820,1D25218Z14008QXPC0,1.0047,25,748,1496,18700,12.99
4837,1D25218Z14008QXPC0,1.0047,25,162,324,4050,2.81
4839,1D25218Z14008QXPC0,1.0047,25,90,180,2250,1.56
4829,1325221416095VURP0,1.0027,15,162,324,2430,1.69
4816,1325216612077TUSP0,1.0024,16,118,236,1888,1.31
4822,1325216612077TUSP0,1.0024,16,238,476,3808,2.64
4848,1325216612077TUSP0,1.0024,16,140,280,2240,1.56
4505,1325221318095HURL0,2.0521,19,4,8,76,0.05
4508,1325225518111HRHB0,2.0466,18,1,2,18,0.01
4605,1D25216814008QXPC0,2.033,20,579,1158,11580,8.04
4608,1D25215013008SXC1T,2.0321,20,9,18,180,0.12
4802,1325222318098HRHE0,2.0136,18,2038,4076,36684,25.48
4508,1325225518111HRAT1,2.0018,19,387,774,7353,5.11
4505,1325223317103YLEV0,2.0015,21,319,638,6699,4.65
4608,1325223418103VETR0,2.0012,18,255,510,4590,3.19
4604,1325222418104HUX10,2.0002,17,34,68,578,0.4
4805,1325214812074TUHL0,1.0394,15,1,2,15,0.01
4506,1325224716111SELS0,1.0364,19,9,18,171,0.12
4812,1D25218014010RXPCT,1.0291,23,585,1170,13455,9.34
4501,1325215813079TUNE5,1.0269,17,658,1316,11186,7.77
4510,1325221715100SRAT0,1.0169,19,2,4,38,0.03
4806,1D25114012008QXPC0,1.0094,19,1,2,19,0.01
4512,1325223616105TRAT0,1.0084,20,1,2,20,0.01
5202,1325218514086HUTR0,1.0075,14,1604,3208,22456,15.59
4819,1D25218Z14008QXPC0,1.0047,25,1,2,25,0.02
4514,1325223517104TRXT0,1.0036,20,775,1550,15500,10.76
5203,1325214813075SUHL0,1.0034,16,725,1450,11600,8.06
4512,1325221516098HRHT0,1.0034,16,725,1450,11600,8.06
4510,1325223616109SELZ0,1.0027,23,586,1172,13478,9.36
4829,1325221416095VURP0,1.0027,15,406,812,6090,4.23
4808,1325216612077TUSP0,1.0024,16,1,2,16,0.01
4604,1325226617118QRMT0,1.0007,26,146,292,3796,2.64
