Machine,Available_Mins,Used_Mins,Idle_Mins,Utilization_Pct,SKUs_Count,Total_Cycles,Total_Units
5201,43200,43200.0,0.0,100.0,2,2043.0,4320
4610,43200,43200.0,0.0,100.0,2,2043.0,4320
4817,43200,43192.0,8.0,99.98,2,553.0,5464
3611,43200,43191.0,9.0,99.98,2,1465.0,4337
4509,43200,43187.0,13.0,99.97,2,915.0,5539
4852,43200,43187.0,13.0,99.97,2,646.0,4508
4844,43200,43186.0,14.0,99.97,2,645.0,4508
4504,43200,43187.0,13.0,99.97,2,915.0,5539
4606,43200,43184.0,16.0,99.96,2,1546.0,4499
4827,43200,43020.0,180.0,99.58,1,0.0,4751
4508,43200,43017.0,183.0,99.58,2,284.0,4957
4843,43200,43020.0,180.0,99.58,1,0.0,4751
4819,43200,43020.0,180.0,99.58,1,0.0,4750
4851,43200,43020.0,180.0,99.58,2,292.0,4156
3610,43200,43020.0,180.0,99.58,2,1456.0,4319
4514,43200,43016.0,184.0,99.57,2,670.0,4557
3614,43200,43016.0,184.0,99.57,2,1383.0,4173
4818,43200,43016.0,184.0,99.57,2,670.0,4558
4515,43200,43016.0,184.0,99.57,2,906.0,5521
4802,43200,43016.0,184.0,99.57,2,384.0,4340
4825,43200,43016.0,184.0,99.57,2,670.0,4558
4505,43200,43003.0,197.0,99.54,2,299.0,4987
4804,43200,42840.0,360.0,99.17,3,1229.0,3930
4607,43200,42830.0,370.0,99.14,3,1384.0,4143
3609,43200,42830.0,370.0,99.14,3,1903.0,5161
4512,43200,42654.0,546.0,98.74,3,662.0,4513
4803,43200,42468.0,732.0,98.31,4,1191.0,3836
4501,43200,41575.0,1625.0,96.24,3,574.0,4366
4838,43200,41439.0,1761.0,95.92,1,0.0,4402
4847,43200,41439.0,1761.0,95.92,1,0.0,4402
4834,43200,41439.0,1761.0,95.92,1,0.0,4403
4853,43200,41401.0,1799.0,95.84,1,0.0,4399
4832,43200,40459.0,2741.0,93.66,2,661.0,5042
4604,43200,38045.0,5155.0,88.07,2,1483.0,4084
4829,43200,37896.0,5304.0,87.72,2,568.0,4808
5203,43200,37850.0,5350.0,87.62,2,725.0,4950
4812,43200,36271.0,6929.0,83.96,1,0.0,3173
4813,43200,36271.0,6929.0,83.96,1,0.0,3173
4846,43200,36248.0,6952.0,83.91,1,0.0,3171
4507,43200,36227.0,6973.0,83.86,2,1853.0,3842
4801,43200,36193.0,7007.0,83.78,3,809.0,3126
4830,43200,35720.0,7480.0,82.69,1,0.0,3572
3615,43200,33081.0,10119.0,76.58,2,709.0,2825
4605,43200,32685.0,10515.0,75.66,1,0.0,4358
4608,43200,32685.0,10515.0,75.66,1,0.0,4358
4506,43200,30343.0,12857.0,70.24,2,3.0,3223
4510,43200,30305.0,12895.0,70.15,2,1.0,3219
4814,43200,30286.0,12914.0,70.11,1,0.0,3218
4831,43200,30286.0,12914.0,70.11,1,0.0,3218
4845,43200,30286.0,12914.0,70.11,1,0.0,3218
4824,43200,30286.0,12914.0,70.11,1,0.0,3218
4823,43200,30286.0,12914.0,70.11,1,0.0,3218
4835,43200,30286.0,12914.0,70.11,1,0.0,3218
4836,43200,30286.0,12914.0,70.11,1,0.0,3218
4821,43200,30286.0,12914.0,70.11,1,0.0,3218
4839,43200,29376.0,13824.0,68.0,1,0.0,3672
4809,43200,29376.0,13824.0,68.0,1,0.0,3672
4841,43200,29376.0,13824.0,68.0,1,0.0,3672
4842,43200,29376.0,13824.0,68.0,1,0.0,3672
4816,43200,29376.0,13824.0,68.0,1,0.0,3672
4848,43200,29328.0,13872.0,67.89,1,0.0,3666
4840,43200,27900.0,15300.0,64.58,1,0.0,3720
4822,43200,27900.0,15300.0,64.58,1,0.0,3720
5202,43200,27885.0,15315.0,64.55,1,0.0,3718
3613,43200,26956.0,16244.0,62.4,2,725.0,2857
4828,43200,26265.0,16935.0,60.8,1,0.0,3502
4826,43200,26265.0,16935.0,60.8,1,0.0,3502
4502,43200,25842.0,17358.0,59.82,2,2.0,3713
4513,43200,25828.0,17372.0,59.79,2,1.0,3711
4503,43200,25820.0,17380.0,59.77,2,1.0,3711
4511,43200,25822.0,17378.0,59.77,2,1.0,3711
6009,43200,25788.0,17412.0,59.69,1,0.0,1827
4810,43200,25335.0,17865.0,58.65,1,0.0,3378
3616,43200,20876.0,22324.0,48.32,2,276.0,1959
4601,43200,20553.0,22647.0,47.58,2,387.0,2534
4805,43200,20115.0,23085.0,46.56,1,0.0,1508
4811,43200,20115.0,23085.0,46.56,1,0.0,1508
4849,43200,20088.0,23112.0,46.5,1,0.0,1506
3612,43200,15392.0,27808.0,35.63,2,2.0,1411
4609,43200,15334.0,27866.0,35.5,1,0.0,1405
4806,43200,13200.0,30000.0,30.56,1,0.0,1760
4820,43200,13200.0,30000.0,30.56,1,0.0,1760
4602,43200,9571.0,33629.0,22.16,2,1.0,1196
4808,43200,8385.0,34815.0,19.41,1,0.0,1118
4850,43200,8370.0,34830.0,19.38,1,0.0,1116
4807,43200,4695.0,38505.0,10.87,1,0.0,626
4603,43200,1005.0,42195.0,2.33,1,0.0,134
4815,43200,663.0,42537.0,1.53,1,0.0,78
4833,43200,224.0,42976.0,0.52,1,0.0,28
4837,43200,224.0,42976.0,0.52,1,0.0,28
