Date,Shift,Machine,SKUCode,StartTime,EndTime,Qty,CycleTime_min,GT_Inventory,Remarks
2026-04-19,B,3609,1D25215013008SXC1T,2026-04-19 18:00:00,2026-04-19 18:20:00,2,20.0,0,LP Scheduled
2026-04-19,B,3610,1325223317103YLEV0,2026-04-19 18:00:00,2026-04-19 23:00:00,28,21.0,0,LP Scheduled
2026-04-19,C,3610,1325223317103YLEV0,2026-04-19 23:00:00,2026-04-20 07:00:00,44,21.0,0,LP Scheduled
2026-04-20,A,3610,1325223317103YLEV0,2026-04-20 07:00:00,2026-04-20 15:00:00,44,21.0,0,LP Scheduled
2026-04-20,B,3610,1325223317103YLEV0,2026-04-20 15:00:00,2026-04-20 23:00:00,44,21.0,0,LP Scheduled
2026-04-20,C,3610,1325223317103YLEV0,2026-04-20 23:00:00,2026-04-21 07:00:00,44,21.0,0,LP Scheduled
2026-04-21,A,3610,1325223317103YLEV0,2026-04-21 07:00:00,2026-04-21 15:00:00,44,21.0,0,LP Scheduled
2026-04-21,B,3610,1325223317103YLEV0,2026-04-21 15:00:00,2026-04-21 23:00:00,44,21.0,0,LP Scheduled
2026-04-21,C,3610,1325223317103YLEV0,2026-04-21 23:00:00,2026-04-22 07:00:00,44,21.0,0,LP Scheduled
2026-04-22,A,3610,1325223317103YLEV0,2026-04-22 07:00:00,2026-04-22 15:00:00,44,21.0,0,LP Scheduled
2026-04-22,B,3610,1325223317103YLEV0,2026-04-22 15:00:00,2026-04-22 23:00:00,44,21.0,0,LP Scheduled
2026-04-22,C,3610,1325223317103YLEV0,2026-04-22 23:00:00,2026-04-23 07:00:00,44,21.0,0,LP Scheduled
2026-04-23,A,3610,1325223317103YLEV0,2026-04-23 07:00:00,2026-04-23 15:00:00,44,21.0,0,LP Scheduled
2026-04-23,B,3610,1325223317103YLEV0,2026-04-23 15:00:00,2026-04-23 23:00:00,44,21.0,0,LP Scheduled
2026-04-23,C,3610,1325223317103YLEV0,2026-04-23 23:00:00,2026-04-24 07:00:00,44,21.0,0,LP Scheduled
2026-04-24,A,3610,1325223317103YLEV0,2026-04-24 07:00:00,2026-04-24 10:00:00,40,21.0,0,LP Scheduled
2026-04-24,A,3610,CHANGEOVER,2026-04-24 10:00:00,2026-04-24 16:00:00,0,0.0,0,C/O to 1D25218Z14008QXPC0
2026-04-24,B,3610,1D25218Z14008QXPC0,2026-04-24 16:00:00,2026-04-24 23:00:00,32,25.0,0,LP Scheduled
2026-04-24,C,3610,1D25218Z14008QXPC0,2026-04-24 23:00:00,2026-04-25 07:00:00,38,25.0,0,LP Scheduled
2026-04-25,A,3610,1D25218Z14008QXPC0,2026-04-25 07:00:00,2026-04-25 15:00:00,38,25.0,0,LP Scheduled
2026-04-25,B,3610,1D25218Z14008QXPC0,2026-04-25 15:00:00,2026-04-25 23:00:00,38,25.0,0,LP Scheduled
2026-04-25,C,3610,1D25218Z14008QXPC0,2026-04-25 23:00:00,2026-04-26 07:00:00,38,25.0,0,LP Scheduled
