SKUCode,Priority,Demand,GT_Inventory,Planned_Units,Gap,Fulfillment_Pct,Status,CycleTime_min,Eligible_Machines,Presses_Needed,Skip_Reason
1D25215013008SXC10,2.1743597200178177,23882,0,24090,0,100.9,FULLY MET,19,48,5.25,
1325221417096HURL0,2.0827307968105915,11805,0,11812,0,100.1,FULLY MET,16,45,2.19,
1325221318095HURL0,2.052671907880544,11068,0,11172,0,100.9,FULLY MET,19,42,2.43,
1325225518111HRHB0,2.046141167486901,10926,0,10857,69,99.4,PARTIAL,18,40,2.28,
1325217515084HURL2,2.034454115708098,3957,0,3960,0,100.1,FULLY MET,15,5,0.69,
1D25216814008QXPC0,2.033262042058144,6074,0,6076,0,100.0,FULLY MET,20,33,1.41,
1D25215013008SXC1T,2.0315931911555913,10821,0,10824,0,100.0,FULLY MET,20,40,2.51,
1325215513073TUNE0,2.020633171683428,2464,0,2464,0,100.0,FULLY MET,15,66,0.43,
1325222318098HRHE0,2.013720291813222,5701,0,5668,33,99.4,PARTIAL,18,34,1.19,
1325216613079HUNE0,2.0115568995667092,1367,0,1368,0,100.1,FULLY MET,15,66,0.24,
1D25219Z14008SXC10,2.002595757929376,4,0,4,0,100.0,FULLY MET,21,22,0.0,
1325225518111HRAT1,2.001810239762407,2,0,2,0,100.0,FULLY MET,19,37,0.0,
1325223317103YLEV0,2.0014964854228383,571,0,575,0,100.7,FULLY MET,21,27,0.14,
1325223418103VETR0,2.0011795816044113,205,0,205,0,100.0,FULLY MET,18,37,0.04,
1325215813079TUNE3,1.0926003221744829,10428,0,10492,0,100.6,FULLY MET,14,83,1.69,
1325219515091HURL2,1.048071175972172,6291,0,6294,0,100.0,FULLY MET,15,32,1.09,
1325214812074TUHL0,1.0392763413752708,6784,0,6784,0,100.0,FULLY MET,15,72,1.18,
1325224716111SELS0,1.0361230691935968,15439,0,15482,0,100.3,FULLY MET,19,31,3.4,
1225219Z15008SXC11,1.0339327918048935,2247,0,2276,0,101.3,FULLY MET,27,76,0.7,
1D25218014010RXPCT,1.0294142511388094,5548,0,5581,0,100.6,FULLY MET,23,33,1.48,
1325215813079TUNE5,1.0274865299570173,5494,0,5450,44,99.2,PARTIAL,17,33,1.08,
1325221715100SRAT0,1.016509416229343,5489,0,5542,0,101.0,FULLY MET,19,27,1.21,
1D25114012008QXPC0,1.009320917915656,2858,0,2885,0,100.9,FULLY MET,19,66,0.63,
1325223616105TRAT0,1.008208802580983,3507,0,3508,0,100.0,FULLY MET,20,27,0.81,
1325218514086HUTR0,1.0073485975410934,3141,0,3142,0,100.0,FULLY MET,14,20,0.51,
1325220416092HRHT0,1.0068435499367938,23,0,24,0,104.3,FULLY MET,16,29,0.0,
1325218316083HURL0,1.0063451091573352,2,0,2,0,100.0,FULLY MET,20,19,0.0,
1325223418103HRHP0,1.004819085449871,2060,0,0,2060,0.0,UNSCHEDULABLE,18,0,0.43,No machine mapping
1D25218Z14008QXPC0,1.0046745874391645,1998,0,1998,0,100.0,FULLY MET,25,73,0.58,
1325231015109QRMT0,1.004458823722065,1847,0,1829,18,99.0,PARTIAL,25,37,0.53,
1325223517104TRXT0,1.0037189961546165,1515,0,1516,0,100.1,FULLY MET,20,27,0.35,
1325214813075SUHL0,1.0034098857982725,1458,0,1458,0,100.0,FULLY MET,16,20,0.27,
1325219416089VRHE0,1.003361755079211,35,0,36,0,102.9,FULLY MET,17,1,0.01,
1325221516098HRHT0,1.0033609042981448,1437,0,1392,45,96.9,PARTIAL,16,27,0.27,
1325221416095VRHE1,1.0033240631293858,1421,0,0,1421,0.0,UNSCHEDULABLE,16,0,0.26,No machine mapping
1325223616109SELZ0,1.0027728077635554,1185,0,1186,0,100.1,FULLY MET,23,37,0.32,
1325221416095VURP0,1.0026656198229476,1139,0,1140,0,100.1,FULLY MET,15,2,0.2,
1325226517112HRHT1,1.0007927309894031,339,0,0,339,0.0,UNSCHEDULABLE,17,27,0.07,No compatible mould available
1325226617118QRMT0,1.000689334239929,295,0,296,0,100.3,FULLY MET,26,37,0.09,
1325224716120NRMT0,1.0004076972556684,174,0,0,174,0.0,UNSCHEDULABLE,26,0,0.05,No machine mapping
