Machine,Available_Mins,Used_Mins,Idle_Mins,Utilization_Pct,SKUs_Count,Total_Cycles,Total_Units
14811,44640,44640.0,0.0,100.0,1.0,0.0,4464.0
4905,44640,44640.0,0.0,100.0,1.0,1488.0,2976.0
75210,44640,44640.0,0.0,100.0,1.0,0.0,4464.0
4921,44640,44631.0,9.0,99.98,1.0,0.0,3068.0
4407,44640,44631.0,9.0,99.98,1.0,0.0,3068.0
4411,44640,44520.0,120.0,99.73,1.0,0.0,5936.0
9407,44640,44520.0,120.0,99.73,1.0,0.0,5936.0
54801,44640,44520.0,120.0,99.73,1.0,0.0,5564.0
4402,44640,44339.0,301.0,99.33,2.0,1649.0,4646.0
4908,44640,44337.0,303.0,99.32,2.0,109.0,2934.0
14807,44640,44338.0,302.0,99.32,2.0,1122.0,5402.0
9409,44640,44335.0,305.0,99.32,2.0,131.0,4764.0
75207,44640,44332.0,308.0,99.31,2.0,124.0,4458.0
9506,44640,44334.0,306.0,99.31,2.0,900.0,5205.0
4911,44640,44334.0,306.0,99.31,2.0,810.0,3540.0
9401,44640,44330.0,310.0,99.31,2.0,717.0,2861.0
14810,44640,44330.0,310.0,99.31,2.0,670.0,3810.0
8604,44640,44333.0,307.0,99.31,2.0,1482.0,4391.0
4904,44640,44334.0,306.0,99.31,2.0,730.0,2894.0
9414,44640,44326.0,314.0,99.3,2.0,1652.0,4648.0
9413,44640,44321.0,319.0,99.29,2.0,1496.0,3879.0
9002,44640,44321.0,319.0,99.29,2.0,1058.0,3543.0
15212,44640,44324.0,316.0,99.29,2.0,2092.0,4756.0
24818,44640,44324.0,316.0,99.29,2.0,261.0,5410.0
75223,44640,44220.0,420.0,99.06,2.0,665.0,4688.0
75216,44640,44220.0,420.0,99.06,2.0,665.0,4688.0
14812,44640,44216.0,424.0,99.05,2.0,1528.0,5488.0
9502,44640,44216.0,424.0,99.05,2.0,689.0,5332.0
9408,44640,44215.0,425.0,99.05,2.0,123.0,4747.0
9402,44640,44205.0,435.0,99.03,2.0,1065.0,5610.0
14806,44640,44208.0,432.0,99.03,2.0,147.0,5526.0
9406,44640,44202.0,438.0,99.02,2.0,862.0,5204.0
75230,44640,44191.0,449.0,98.99,2.0,241.0,5072.0
8701,44640,44169.0,471.0,98.94,2.0,127.0,2970.0
75208,44640,44030.0,610.0,98.63,3.0,1205.0,5129.0
75222,44640,44027.0,613.0,98.63,3.0,635.0,4628.0
75206,44640,44027.0,613.0,98.63,3.0,2435.0,5198.0
4409,44640,43919.0,721.0,98.38,3.0,534.0,5021.0
4415,44640,43914.0,726.0,98.37,3.0,662.0,5278.0
9404,44640,43838.0,802.0,98.2,2.0,315.0,2772.0
4802,44640,42370.0,2270.0,94.91,1.0,0.0,4502.0
4406,44640,42370.0,2270.0,94.91,1.0,0.0,4502.0
9411,44640,42351.0,2289.0,94.87,1.0,0.0,4500.0
9804,44640,41856.0,2784.0,93.76,1.0,0.0,5232.0
9802,44640,41856.0,2784.0,93.76,1.0,0.0,5232.0
15209,44640,41779.0,2861.0,93.59,2.0,1891.0,4562.0
8602,44640,40740.0,3900.0,91.26,1.0,0.0,2716.0
8603,44640,40740.0,3900.0,91.26,1.0,0.0,2716.0
9202,44640,40740.0,3900.0,91.26,1.0,0.0,2716.0
24824,44640,40715.0,3925.0,91.21,1.0,0.0,4750.0
14802,44640,40170.0,4470.0,89.99,1.0,0.0,5356.0
24808,44640,39104.0,5536.0,87.6,1.0,0.0,4888.0
54804,44640,36720.0,7920.0,82.26,1.0,0.0,4590.0
54803,44640,36720.0,7920.0,82.26,1.0,0.0,4590.0
4918,44640,35063.0,9577.0,78.55,2.0,432.0,2291.0
75202,44640,34867.0,9773.0,78.11,2.0,1539.0,4166.0
4909,44640,34793.0,9847.0,77.94,2.0,846.0,3119.0
75220,44640,34765.0,9875.0,77.88,1.0,0.0,4056.0
9403,44640,33895.0,10745.0,75.93,2.0,803.0,3040.0
4404,44640,33881.0,10759.0,75.9,1.0,0.0,3953.0
9503,44640,33881.0,10759.0,75.9,1.0,0.0,3954.0
4401,44640,33830.0,10810.0,75.78,1.0,0.0,3947.0
75212,44640,33580.0,11060.0,75.22,1.0,0.0,3358.0
15206,44640,33516.0,11124.0,75.08,3.0,555.0,3831.0
9405,44640,33410.0,11230.0,74.84,2.0,215.0,3910.0
75227,44640,33210.0,11430.0,74.4,2.0,10.0,2490.0
14808,44640,32940.0,11700.0,73.79,1.0,0.0,2469.0
15208,44640,32940.0,11700.0,73.79,1.0,0.0,2470.0
75226,44640,32913.0,11727.0,73.73,1.0,0.0,2468.0
24804,44640,31002.0,13638.0,69.45,2.0,150.0,3894.0
9203,44640,30834.0,13806.0,69.07,1.0,0.0,3405.0
9410,44640,30834.0,13806.0,69.07,1.0,0.0,3405.0
9505,44640,30834.0,13806.0,69.07,1.0,0.0,3405.0
9507,44640,30834.0,13806.0,69.07,1.0,0.0,3405.0
15210,44640,30786.0,13854.0,68.97,2.0,384.0,3489.0
24803,44640,28786.0,15854.0,64.48,2.0,2.0,3598.0
14803,44640,28752.0,15888.0,64.41,1.0,0.0,3594.0
