SKUCode,Priority,Demand,GT_Inventory,Planned_Units,Gap,Fulfillment_Pct,Status,CycleTime_min,Eligible_Machines,Presses_Needed,Skip_Reason
1325217514082HURL2,5.0,11301,0,11304,0,100.0,FULLY MET,15,82,1.9,
1225170015012LSTL0,4.078871642589944,21917,395,21945,0,100.1,FULLY MET,31,71,7.61,
1325214813075SUNE1,4.076458013340683,17916,227,17916,0,100.0,FULLY MET,15,86,3.01,
1D25213812090FXPC0,4.042841333396347,17896,255,17757,139,99.2,PARTIAL,17,43,3.41,
1D25212812086FXPC0,4.039142405888011,18199,332,18370,0,100.9,FULLY MET,19,37,3.87,
1D25212812074FXC10,4.03291929537957,12462,331,12391,71,99.4,PARTIAL,18,43,2.51,
1325219416089HRHE0,4.024217682057079,8629,0,8630,0,100.0,FULLY MET,16,82,1.55,
1225221715115SSTL0,4.023683107682023,10305,158,10310,0,100.0,FULLY MET,30,71,3.46,
1225223516121PSKP0,4.021375037406819,8677,153,8784,0,101.2,FULLY MET,27,56,2.62,
1D25215Z13008QXPC0,4.015487567769747,7452,0,7452,0,100.0,FULLY MET,20,119,1.67,
1325119815106QBRQ0,4.011821348565372,3002,70,3754,0,125.0,FULLY MET,29,71,0.98,
1225170015010LSTL0,4.009167960591903,2702,113,2707,0,100.2,FULLY MET,31,71,0.94,
1325213615099MSXT0,4.008926854107322,2457,0,2458,0,100.0,FULLY MET,16,75,0.44,
1325213612065SULX1,4.003150575235382,60,131,60,0,100.0,FULLY MET,16,75,0.01,
1225121716010SXC10,4.0027959361545085,1501,0,1502,0,100.1,FULLY MET,15,56,0.25,
1325218515088HTMX0,3.031926253728012,8075,136,8076,0,100.0,FULLY MET,16,82,1.45,
1325215813079STMX0,3.021286701643309,7782,15,7782,0,100.0,FULLY MET,16,129,1.39,
1325221416095VURL0,3.0207554720511554,71,51,72,0,101.4,FULLY MET,16,108,0.01,
1325223517104HRHT0,3.010949287449822,3609,38,3644,0,101.0,FULLY MET,19,82,0.77,
1325216814085TURL0,3.0094373252748725,4111,0,4112,0,100.0,FULLY MET,15,119,0.69,
1325216514079TTMX0,3.0075578818564437,3084,0,3059,25,99.2,PARTIAL,17,82,0.59,
1325218614088HURL0,3.00478888503263,1255,0,1246,9,99.3,PARTIAL,17,125,0.24,
1325226517112HRHT0,3.004422693011223,2952,0,2928,24,99.2,PARTIAL,17,43,0.56,
1325220516095HTMX0,3.003558365148428,306,0,306,0,100.0,FULLY MET,15,82,0.05,
1325220515094VTMX0,3.0032578180200034,571,0,569,2,99.6,PARTIAL,18,108,0.12,
1325222417099HURL0,3.002901038443207,12,0,12,0,100.0,FULLY MET,17,82,0.0,
1325223916120QRAB0,3.001607200231301,1127,0,1128,0,100.1,FULLY MET,31,43,0.39,
1325217613082TUNE2,3.0005936750673454,2,185,2,0,100.0,FULLY MET,15,129,0.0,
1225219015008SLTB0,3.0004291557739347,260,0,260,0,100.0,FULLY MET,27,71,0.08,
1325222317101VUX10,3.0002470968180703,4,0,4,0,100.0,FULLY MET,16,82,0.0,
1325220515094VURL1,3.0001303899789797,93,1,94,0,101.1,FULLY MET,18,108,0.02,
