Machine,Available_Mins,Used_Mins,Idle_Mins,Utilization_Pct,SKUs_Count,Total_Cycles,Total_Units
4817,43200,43187.0,13.0,99.97,1,0.0,4588
4843,43200,43020.0,180.0,99.58,1,0.0,4751
4819,43200,43020.0,180.0,99.58,1,0.0,4750
4827,43200,43020.0,180.0,99.58,1,0.0,4751
4610,43200,42840.0,360.0,99.17,2,2100.0,4284
3609,43200,42838.0,362.0,99.16,2,1450.0,4168
4606,43200,42838.0,362.0,99.16,2,1450.0,4168
4603,43200,42838.0,362.0,99.16,2,900.0,4630
4504,43200,42838.0,362.0,99.16,2,905.0,5366
4804,43200,42832.0,368.0,99.15,2,1261.0,3937
4510,43200,42655.0,545.0,98.74,2,727.0,4518
4505,43200,42655.0,545.0,98.74,2,341.0,4904
4515,43200,42648.0,552.0,98.72,2,995.0,5545
4802,43200,42648.0,552.0,98.72,2,432.0,4308
3614,43200,42642.0,558.0,98.71,2,1516.0,4300
4511,43200,42617.0,583.0,98.65,2,952.0,5438
4502,43200,42617.0,583.0,98.65,2,952.0,5438
4506,43200,42540.0,660.0,98.47,2,761.0,4586
5203,43200,42509.0,691.0,98.4,2,948.0,5166
4503,43200,42477.0,723.0,98.33,3,1041.0,5638
4803,43200,42474.0,726.0,98.32,3,1161.0,3737
3611,43200,42474.0,726.0,98.32,3,1495.0,4258
4501,43200,42467.0,733.0,98.3,3,835.0,4734
3616,43200,42293.0,907.0,97.9,3,1605.0,4478
4508,43200,42292.0,908.0,97.9,3,314.0,4847
4605,43200,42279.0,921.0,97.87,3,603.0,5132
4507,43200,42157.0,1043.0,97.59,2,775.0,4382
4852,43200,36802.0,6398.0,85.19,2,507.0,4062
4829,43200,36744.0,6456.0,85.06,2,568.0,4664
4509,43200,35698.0,7502.0,82.63,2,548.0,4652
4812,43200,34891.0,8309.0,80.77,1,0.0,3053
4813,43200,34891.0,8309.0,80.77,1,0.0,3053
4846,43200,34868.0,8332.0,80.71,1,0.0,3051
4851,43200,34440.0,8760.0,79.72,1,0.0,3444
4830,43200,34440.0,8760.0,79.72,1,0.0,3444
4801,43200,34315.0,8885.0,79.43,2,1103.0,3621
4608,43200,33241.0,9959.0,76.95,2,146.0,4218
4850,43200,31293.0,11907.0,72.44,1,0.0,3325
4808,43200,29430.0,13770.0,68.12,1,0.0,3924
4512,43200,28842.0,14358.0,66.76,1,0.0,3064
4818,43200,28842.0,14358.0,66.76,1,0.0,3064
4836,43200,28842.0,14358.0,66.76,1,0.0,3064
4835,43200,28842.0,14358.0,66.76,1,0.0,3064
4831,43200,28842.0,14358.0,66.76,1,0.0,3064
4825,43200,28842.0,14358.0,66.76,1,0.0,3063
4824,43200,28842.0,14358.0,66.76,1,0.0,3063
4823,43200,28842.0,14358.0,66.76,1,0.0,3064
4821,43200,28842.0,14358.0,66.76,1,0.0,3064
4514,43200,28842.0,14358.0,66.76,1,0.0,3064
4845,43200,28842.0,14358.0,66.76,1,0.0,3064
4814,43200,28842.0,14358.0,66.76,1,0.0,3064
4844,43200,28842.0,14358.0,66.76,1,0.0,3064
4809,43200,28224.0,14976.0,65.33,1,0.0,3528
4816,43200,28224.0,14976.0,65.33,1,0.0,3528
4841,43200,28224.0,14976.0,65.33,1,0.0,3528
4842,43200,28224.0,14976.0,65.33,1,0.0,3528
4839,43200,28224.0,14976.0,65.33,1,0.0,3528
4848,43200,28192.0,15008.0,65.26,1,0.0,3524
4834,43200,26657.0,16543.0,61.71,1,0.0,2832
4853,43200,26657.0,16543.0,61.71,1,0.0,2832
4847,43200,26657.0,16543.0,61.71,1,0.0,2832
4838,43200,26657.0,16543.0,61.71,1,0.0,2832
4822,43200,26430.0,16770.0,61.18,1,0.0,3524
5202,43200,26430.0,16770.0,61.18,1,0.0,3524
4840,43200,26430.0,16770.0,61.18,1,0.0,3524
4832,43200,26430.0,16770.0,61.18,1,0.0,3524
4513,43200,24738.0,18462.0,57.26,1,0.0,3556
4837,43200,24650.0,18550.0,57.06,1,0.0,1952
4828,43200,24645.0,18555.0,57.05,1,0.0,3286
4826,43200,24645.0,18555.0,57.05,1,0.0,3286
6009,43200,24640.0,18560.0,57.04,1,0.0,1745
4810,43200,23910.0,19290.0,55.35,1,0.0,3188
3613,43200,21115.0,22085.0,48.88,3,353.0,1974
4811,43200,18873.0,24327.0,43.69,1,0.0,1415
4805,43200,18873.0,24327.0,43.69,1,0.0,1415
4849,43200,18819.0,24381.0,43.56,1,0.0,1411
3612,43200,18428.0,24772.0,42.66,2,255.0,1778
3615,43200,16534.0,26666.0,38.27,3,149.0,1566
3610,43200,16059.0,27141.0,37.17,3,115.0,1498
4604,43200,14730.0,28470.0,34.1,1,0.0,1964
4815,43200,14730.0,28470.0,34.1,1,0.0,1964
4607,43200,13838.0,29362.0,32.03,1,0.0,1268
4609,43200,13816.0,29384.0,31.98,1,0.0,1266
4806,43200,11835.0,31365.0,27.4,1,0.0,1578
4820,43200,11835.0,31365.0,27.4,1,0.0,1578
4601,43200,11835.0,31365.0,27.4,1,0.0,1578
4602,43200,10125.0,33075.0,23.44,3,105.0,1200
5201,43200,4182.0,39018.0,9.68,4,192.0,468
4807,43200,3375.0,39825.0,7.81,1,0.0,450
4833,43200,16.0,43184.0,0.04,1,0.0,2
