SKUCode,Quantity,Priority
1D25215013008SXC10,495,2.1690236729953947
1325221417096HURL0,633,2.081552970088277
1325225518111HRHB0,420,2.043400466954008
1D25215013008SXC1T,673,2.030547257513861
1325222318098HRHE0,575,2.013533575484146
1325223317103YLEV0,630,2.0014207497298107
1325223418103VETR0,498,2.001124159215128
1325224716111SELS0,10975,1.0350510174288767
1D25218014010RXPCT,1766,1.028934330010159
1325215813079TUNE5,1635,1.0263552206330473
1325221715100SRAT0,6136,1.015762623670578
1D25114012008QXPC0,320,1.0091779218378305
1325223616105TRAT0,3544,1.0079950487362364
1325218514086HUTR0,3120,1.0072887979612353
1325214812074TTMX0,17,1.0060226655096245
1D25118014010RXPC0,45,1.0049452260511305
1325223517104TRXT0,1580,1.0035640772571208
1325214813075SUHL0,1268,1.0032715219435229
1325221516098HRHT0,1414,1.003191275810522
1325221416095VRHE1,1411,1.0031823777409845
1325223616109SELZ0,1110,1.0026887593958345
1325221416095VURP0,1170,1.0026407547568137
1325226517112HRHT1,330,1.0007440354589068
1325224716120NRMT0,173,1.0003892849725706
1325231015109QRMT0,821,1.0043075954554537
1325223418103HRHP0,2027,1.004574291595174
1325225518111HRAT0,373,2.003932548778947
1325221317094VURL0,1583,1.0035715574968864
