SKUCode,Priority,Demand,GT_Inventory,Planned_Units,Gap,Fulfillment_Pct,Status,CycleTime_min,Eligible_Machines,Presses_Needed,Skip_Reason
1D25215013008SXC10,2.1690236729953947,495,0,496,0,100.2,FULLY MET,19,48,0.11,
1325221417096HURL0,2.081552970088277,633,0,640,0,101.1,FULLY MET,16,45,0.12,
1325225518111HRHB0,2.043400466954008,420,0,420,0,100.0,FULLY MET,18,40,0.09,
1D25215013008SXC1T,2.030547257513861,673,0,682,0,101.3,FULLY MET,20,40,0.16,
1325222318098HRHE0,2.013533575484146,575,0,582,0,101.2,FULLY MET,18,34,0.12,
1325225518111HRAT0,2.003932548778947,373,0,379,0,101.6,FULLY MET,19,37,0.08,
1325223317103YLEV0,2.0014207497298107,630,0,630,0,100.0,FULLY MET,21,27,0.15,
1325223418103VETR0,2.001124159215128,498,0,495,3,99.4,PARTIAL,18,37,0.1,
1325224716111SELS0,1.0350510174288767,10975,0,11042,0,100.6,FULLY MET,19,31,2.41,
1D25218014010RXPCT,1.028934330010159,1766,0,1784,0,101.0,FULLY MET,23,33,0.47,
1325215813079TUNE5,1.0263552206330473,1635,0,1626,9,99.4,PARTIAL,17,33,0.32,
1325221715100SRAT0,1.015762623670578,6136,0,6178,0,100.7,FULLY MET,19,27,1.35,
1D25114012008QXPC0,1.0091779218378305,320,0,323,0,100.9,FULLY MET,19,66,0.07,
1325223616105TRAT0,1.0079950487362364,3544,0,3544,0,100.0,FULLY MET,20,27,0.82,
1325218514086HUTR0,1.0072887979612353,3120,0,3138,0,100.6,FULLY MET,14,20,0.51,
1325214812074TTMX0,1.0060226655096245,17,0,18,0,105.9,FULLY MET,16,1,0.0,
1D25118014010RXPC0,1.0049452260511305,45,0,46,0,102.2,FULLY MET,15,1,0.01,
1325223418103HRHP0,1.004574291595174,2027,0,0,2027,0.0,UNSCHEDULABLE,18,0,0.42,No machine mapping
1325231015109QRMT0,1.0043075954554537,821,0,814,7,99.1,PARTIAL,25,37,0.24,
1325221317094VURL0,1.0035715574968864,1583,0,1584,0,100.1,FULLY MET,18,2,0.33,
1325223517104TRXT0,1.0035640772571208,1580,0,1580,0,100.0,FULLY MET,20,27,0.37,
1325214813075SUHL0,1.0032715219435229,1268,0,1268,0,100.0,FULLY MET,16,20,0.23,
1325221516098HRHT0,1.003191275810522,1414,0,1414,0,100.0,FULLY MET,16,27,0.26,
1325221416095VRHE1,1.0031823777409845,1411,0,0,1411,0.0,UNSCHEDULABLE,16,0,0.26,No machine mapping
1325223616109SELZ0,1.0026887593958345,1110,0,1117,0,100.6,FULLY MET,23,37,0.3,
1325221416095VURP0,1.0026407547568137,1170,0,1170,0,100.0,FULLY MET,15,2,0.2,
1325226517112HRHT1,1.0007440354589068,330,0,0,330,0.0,UNSCHEDULABLE,17,27,0.06,No compatible mould available
1325224716120NRMT0,1.0003892849725706,173,0,0,173,0.0,UNSCHEDULABLE,26,0,0.05,No machine mapping
