SKUCode,Cumulative_Actual
1225119015010QSTL0,1216
1225121715115SSTL0,5797
1225121716010SXC10,2003
1225121Z14112LSTL0,1829
1225170015010LSTL0,6462
1225170015012LSTL0,55979
1225175016012NJTL0,165
1225219015008SLTB0,310
1225219015010QSTL0,2784
1225220Z16008RXC10,20
1225221615008QXC10,617
1225221715115SSTL0,16558
1225221716010SXC10,1299
1225222615008RXC10,93
1225222716121MXC11,252
1225223516121PSKP0,15717
1325114613071TTMX0,155
1325114812074TUHL0,20728
1325119015008SRBT0,7870
1325119815106QBRQ0,9218
1325121715100SBRT0,6218
1325121715100SRBT0,4971
1325121715100SRXT0,4867
1325121715115SLTB0,5002
1325123715105SBRT0,8329
1325123715105SRXT0,875
1325213612065SULX1,2252
1325213615099MSXT0,6390
1325214613071TTMX0,2920
1325214812074TUHL0,24660
1325214813075STMX0,4085
1325214813075SUNE1,53281
1325215513073TUHL0,5961
1325215613075TTMX0,4878
1325215613075TUHL0,9295
1325215813079STMX0,15152
1325215813079SUHL0,11369
1325216513077TUHL0,2902
1325216514079TTMX0,5278
1325216614081STMX0,17943
1325216614081SUTR0,5901
1325216814085STMX0,20112
1325216814085SUTR0,5147
1325216814085TURL0,6835
1325216814085TURS0,311
1325217413077TUSP0,5122
1325217415081HUTR0,3922
1325217514082HURP0,418
1325217514082TTMX0,6558
1325217514082TUTR0,4731
1325217514082TVECH,2276
1325217515084HURP0,147
1325217613082TUNE2,424
1325217614084HURL1,1359
1325218415084TTMX0,1558
1325218515088HTMX0,22817
1325218515088HURP0,463
1325218515088HUTR0,4977
1325218515088TURL0,2209
1325218515088TURS0,295
1325218614088HURL0,3490
1325219316087VURL0,8290
1325219316087VURP0,611
1325219316087VUTR0,7080
1325219416089HRHE0,17412
1325220316091VURL1,2009
1325220416092VURL0,468
1325220416092VURP0,11
1325220515094VTMX0,2331
1325220515094VURL1,96
1325220515094VUTR0,6237
1325220516095HTMX0,2544
1325220516095HUTR0,7877
1325221317098VUX10,4
1325221416095VURL0,15068
1325221416095VURS0,292
1325221417100HURL1,17605
1325221417100HURS0,297
1325221715100SRHT0,20807
1325221715100SRXT0,3954
1325222317101VUX10,177
1325222417099HURL0,2090
1325223517104HRHT0,7712
1325223517104HRPG0,591
1325223616105HRHT0,2394
1325223715105SRXT0,3298
1325223916120QRAB0,1137
1325226517112HRHT0,3242
1425118916008QRBT0,8896
1D25115013008QXPC0,551
1D25212812074FXC10,23369
1D25212812086FXPC0,28669
1D25213812090FXPC0,30036
1D25214012006QXC10,491
1D25215Z13008QXPC0,10867
1325217514082HURL2,12490
1325217613082TUNE0,4021
1325218515088HURL1,9982
1D25215013008SXC11,13605
