Day_Idx,Date,Machine,From_SKU,To_SKU
6,2026-05-06,14807,1225221615008QXC10,1325219416089HRHE0
7,2026-05-07,4913,1325213612065SULX1,1325213615099MSXT0
8,2026-05-08,4401,1325214613071TTMX0,1D25213812090FXPC0
8,2026-05-08,75226,1325214613071TTMX0,1225223516121PSKP0
14,2026-05-14,14801,1325215613075TTMX0,1325217514082HURL2
14,2026-05-14,54802,1325215613075TTMX0,1325217613082TUNE2
15,2026-05-15,15207,1325218515088HUTR0,1325217514082HURL2
15,2026-05-15,24819,1325222417099HURL0,1325217514082HURL2
15,2026-05-15,75217,1325223517104HRPG0,1D25215Z13008QXPC0
15,2026-05-15,4915,1325217413077TUSP0,1325213612065SULX1
16,2026-05-16,75219,1325222317101VUX10,1D25215Z13008QXPC0
16,2026-05-16,75225,1325114613071TTMX0,1325216814085TURL0
17,2026-05-17,24809,1325216614081SUTR0,1325216514079TTMX0
19,2026-05-19,24817,1325220515094VTMX0,1325220515094VURL1
20,2026-05-20,24817,1325220515094VURL1,1225220Z16008RXC10
21,2026-05-21,24802,1325218515088HURP0,1325218515088HURL1
21,2026-05-21,24807,1325214813075SUNE1,1325218515088HURL1
21,2026-05-21,24811,1325214813075SUNE1,1325218515088HURL1
21,2026-05-21,24813,1325214813075SUNE1,1325218515088HURL1
21,2026-05-21,75203,1325214813075SUNE1,1225223516121PSKP0
21,2026-05-21,24815,1D25115013008QXPC0,1325221416095VURL0
21,2026-05-21,75209,1325219316087VURP0,1325226517112HRHT0
21,2026-05-21,24816,1325214813075SUNE1,1325220515094VTMX0
21,2026-05-21,24826,1325214813075SUNE1,1325222417099HURL0
22,2026-05-22,4924,1325213615099MSXT0,1225221715115SSTL0
22,2026-05-22,24816,1325220515094VTMX0,1325216814085STMX0
22,2026-05-22,24826,1325222417099HURL0,1325216814085STMX0
23,2026-05-23,4412,1225170015012LSTL0,1D25213812090FXPC0
23,2026-05-23,4413,1225170015012LSTL0,1D25212812086FXPC0
23,2026-05-23,4414,1225170015012LSTL0,1D25212812086FXPC0
23,2026-05-23,4417,1225170015012LSTL0,1D25212812086FXPC0
23,2026-05-23,9001,1225170015012LSTL0,1D25212812086FXPC0
23,2026-05-23,9002,1225170015012LSTL0,1D25212812086FXPC0
23,2026-05-23,4410,1225170015012LSTL0,1225221715115SSTL0
23,2026-05-23,4901,1225170015012LSTL0,1225221715115SSTL0
23,2026-05-23,4902,1225170015012LSTL0,1225219015008SLTB0
23,2026-05-23,75201,1325218515088HTMX0,1225175016012NJTL0
23,2026-05-23,14809,1325218614088HURL0,1225222615008RXC10
23,2026-05-23,9401,1225170015012LSTL0,1325214812074TUHL0
23,2026-05-23,9403,1425118916008QRBT0,1325214812074TUHL0
23,2026-05-23,9412,1225170015012LSTL0,1325214812074TUHL0
23,2026-05-23,24810,1325217514082HURP0,1325216814085STMX0
23,2026-05-23,24820,1325220316091VURL1,1325216614081STMX0
23,2026-05-23,24822,1325123715105SRXT0,1325215813079SUHL0
23,2026-05-23,4903,1225170015012LSTL0,1325123715105SBRT0
23,2026-05-23,4904,1425118916008QRBT0,1325123715105SBRT0
23,2026-05-23,4907,1225170015012LSTL0,1325123715105SBRT0
23,2026-05-23,4909,1225170015012LSTL0,1325123715105SBRT0
23,2026-05-23,4910,1425118916008QRBT0,1325123715105SBRT0
23,2026-05-23,4916,1225170015012LSTL0,1325123715105SBRT0
23,2026-05-23,4917,1225170015012LSTL0,1325123715105SBRT0
23,2026-05-23,75204,1325218515088HTMX0,1325219316087VURL0
23,2026-05-23,4918,1225170015012LSTL0,1325119015008SRBT0
23,2026-05-23,4919,1225170015012LSTL0,1325119015008SRBT0
23,2026-05-23,4922,1225170015012LSTL0,1325119015008SRBT0
23,2026-05-23,75206,1225121716010SXC10,1325220516095HUTR0
23,2026-05-23,75211,1325218515088HTMX0,1325220516095HUTR0
23,2026-05-23,75213,1325218515088HTMX0,1325220516095HUTR0
23,2026-05-23,75218,1325218515088HTMX0,1325220516095HUTR0
23,2026-05-23,75224,1325218515088HTMX0,1325219316087VUTR0
23,2026-05-23,24815,1325221416095VURL0,1325219316087VUTR0
23,2026-05-23,4925,1225170015012LSTL0,1225121715115SSTL0
23,2026-05-23,8601,1225170015012LSTL0,1225121715115SSTL0
23,2026-05-23,8604,1225170015012LSTL0,1225121715115SSTL0
23,2026-05-23,8605,1225170015012LSTL0,1225121715115SSTL0
23,2026-05-23,8606,1225170015012LSTL0,1225121715115SSTL0
23,2026-05-23,9701,1225170015012LSTL0,1225121715115SSTL0
23,2026-05-23,9703,1225170015012LSTL0,1225121715115SSTL0
23,2026-05-23,9704,1225170015012LSTL0,1325121715115SLTB0
24,2026-05-24,9201,1225170015010LSTL0,1325214812074TUHL0
24,2026-05-24,14804,1325218515088TURL0,1325219316087VUTR0
24,2026-05-24,75201,1225175016012NJTL0,1325220515094VUTR0
