SKUCode,Quantity,Priority
1225119015010QSTL0,507,2.0023393049110405
1225121715115SSTL0,0,2.007863449346016
1225121716010SXC10,0,4.0027190646451976
1225121Z14112LSTL0,6,2.00249186301412
1225170015010LSTL0,0,4.008774991494915
1225170015012LSTL0,0,4.075948904830156
1225175016012NJTL0,0,3.000224617920324
1225219015008SLTB0,0,3.0004211820118303
1225219015010QSTL0,2,2.003783396190748
1225220Z16008RXC10,0,3.000027443199822
1225221615008QXC10,0,3.0008257948800043
1225221715115SSTL0,0,4.022485511521031
1225221716010SXC10,0,4.001753679261504
1225222615008RXC10,0,3.0001252392871005
1225222716121MXC11,844,2.0014885665564206
1225223516121PSKP0,0,4.021329671845328
1325114613071TTMX0,0,2.000209677118771
1325114812074TUHL0,0,2.0281480547157074
1325119015008SRBT0,0,2.010688067111808
1325119815106QBRQ0,0,4.0115718068259225
1325121715100SBRT0,0,2.0084449279395176
1325121715100SRBT0,0,2.006746372084458
1325121715100SRXT0,0,2.0066075545704996
1325121715115SLTB0,0,2.0067921725372777
1325123715105SBRT0,0,2.0113025552035637
1325123715105SRXT0,0,2.001185291721304
1325213612065SULX1,0,4.0030559451212495
1325213615099MSXT0,0,4.008675077916541
1325214613071TTMX0,0,2.0039529032662395
1325214812074TUHL0,0,2.033471348076857
1325214813075STMX0,0,2.005547573985837
1325214813075SUNE1,0,4.072321018142472
1325215513073TUHL0,0,2.0080952767021727
1325215613075TTMX0,0,2.0064635299620037
1325215613075TUHL0,0,2.012620305794295
1325215813079STMX0,0,3.020572316747183
1325215813079SUHL0,6,2.0154479184195853
1325216513077TUHL0,107,2.0040865750505668
1325216514079TTMX0,0,3.0071644018664796
1325216614081STMX0,0,2.024360434941433
1325216614081SUTR0,0,2.008011078596608
1325216814085STMX0,0,2.027313264143594
1325216814085SUTR0,9,2.0070021484862792
1325216814085TURL0,0,3.009278977640785
1325216814085TURS0,0,2.0004218365207995
1325217413077TUSP0,0,2.006865630439359
1325217415081HUTR0,0,2.0052550583144857
1325217514082HURP0,0,2.0005665085832187
1325217514082TTMX0,0,3.008539919261223
1325217514082TUTR0,2,2.006427701083305
1325217514082TVECH,0,4.0030015904471625
1325217515084HURP0,0,2.0001964295527164
1325217613082TUNE2,0,3.0005700565612505
1325217614084HURL1,0,2.0018430645507888
1325218415084TTMX0,0,2.0020402415001284
1325218515088HTMX0,0,3.030985317587376
1325218515088HURP0,0,2.0006288168907926
1325218515088HUTR0,0,2.006597005939349
1325218515088TURL0,0,2.0030001804757656
1325218515088TURS0,0,2.000400009832803
1325218614088HURL0,0,3.004739142378797
1325219316087VURL0,0,2.0112471426497858
1325219316087VURP0,0,2.0008294108844797
1325219316087VUTR0,0,2.009610047738301
1325219416089HRHE0,0,4.023640092586509
1325220316091VURL1,0,2.002728350434214
1325220416092VURL0,98,2.0007690220290724
1325220416092VURP0,0,3.0000141289945046
1325220515094VTMX0,0,3.003166069090544
1325220515094VURL1,0,3.0001270050132756
1325220515094VUTR0,1,2.0084720182695057
1325220516095HTMX0,0,3.003438570901211
1325220516095HUTR0,0,2.0106640545246948
1325221317098VUX10,0,2.0000052367146477
1325221416095VURL0,0,3.0204633455437344
1325221416095VURS0,0,2.0003969759510705
1325221417100HURL1,22,2.023937741186665
1325221417100HURS0,0,2.0003991860367747
1325221715100SRHT0,0,2.028255504118208
1325221715100SRXT0,0,2.0053679278184044
1325222317101VUX10,0,3.0002390327050388
1325222417099HURL0,0,3.0028364546528463
1325223517104HRHT0,0,3.01047173433467
1325223517104HRPG0,0,2.0007854025507243
1325223616105HRHT0,481,2.0039037772080084
1325223715105SRXT0,0,2.0044778208850955
1325223916120QRAB0,0,3.0015439236029446
1325226517112HRHT0,0,3.004399526389398
1425118916008QRBT0,0,2.0120814131534335
1D25115013008QXPC0,0,2.0007475079181978
1D25212812074FXC10,0,4.0317291273066225
1D25212812086FXPC0,0,4.038906121462909
1D25213812090FXPC0,0,4.040789909788519
1D25214012006QXC10,0,2.000664793446798
1D25215Z13008QXPC0,0,4.014757925207688
1325217613082TUNE0,5307,2.00137517932327
1325119815106QBRQ0,0,2.00371179323278
1325217514082HURL2,0,5.0
1325218515088HURL1,18,5.0
1D25215013008SXC11,89,2.00537517932327
