Machine,SKUCode,MouldNos,MouldLife_remaining,Num_Moulds
14812,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2201,2
15205,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2199,2
24808,1325215813079SUHL0,B1558013ULHLIFGC01|B1558013ULHLIFGC02,619,2
24818,1325215813079SUHL0,B1558013ULHLIFGC03|B1558013ULHLIFGC02,471,2
24824,1325220515094VUTR0,B2056515TORINGGC01|B2056515TORINGGC02,437,2
24825,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2199,2
4416,1225119015010QSTL0,B195R15STLKINGHM01|B195R15STLKINGHM02,2384,2
4906,1325217613082TUNE0,C17570R13ULNTLGC03|C17570R13ULNTLGC04,1717,2
75202,1325216814085SUTR0,C016580R14ELZTGC05|C16580R14ELZTHM01,1701,2
75205,1325223616105HRHT0,C23570R16RHTTLHM01|C23570R16RHTTLHM02,1797,2
75212,1325221417100HURL1,C21560R17UXRTLHM11|C21560R17UXRTLHM07,2399,2
75215,1325218515088HURL1,B1856515UXROYBGC01|B1856515UXROYBGC02,2156,2
75216,1325221417100HURL1,B2156017UXROYLGC06|B2156017UXROYLGC02,2013,2
75222,1325221417100HURL1,B2156017UXROYLGC01|B2156017UXROYLGC02,781,2
75223,1325221417100HURL1,C21560R17UXRTLHM08|B2156017UXROYLGC01,2603,2
75229,1325217514082TUTR0,C17565R14UXTTLHM01|C17565R14UXTTLHM02,1398,2
9404,1225219015010QSTL0,B195R15STLKINGHM01|B195R15STLKINGHM02,1594,2
54802,1325216513077TUHL0,C16565R13ULFTLHM01|C16565R13ULFTLHM02,1542,2
24817,1325218515088HURL1,B1856515UXROYBGC01|B1856515UXROYBGC02,2125,2
24802,1325218515088HURL1,B1856515UXROYBGC01|B1856515UXROYBGC02,2175,2
24807,1325218515088HURL1,B1856515UXROYBGC01|B1856515UXROYBGC02,2175,2
24811,1325218515088HURL1,B1856515UXROYBGC01|B1856515UXROYBGC02,2175,2
24813,1325218515088HURL1,B1856515UXROYBGC01|B1856515UXROYBGC02,2175,2
24822,1325215813079SUHL0,B1558013ULHLIFGC01|B1558013ULHLIFGC02,2354,2
75201,1325220515094VUTR0,B2056515TORINGGC01|B2056515TORINGGC02,2426,2
9702,1225121Z14112LSTL0,B21514STELKINGHM01|B21514STKINGDCDC05,2704,2
9704,1225121Z14112LSTL0,B21514STELKINGHM01|B21514STKINGDCDC05,2704,2
24809,1325216814085SUTR0,C016580R14ELZTGC05|C16580R14ELZTHM01,2544,2
14809,1325216814085SUTR0,C016580R14ELZTGC05|C16580R14ELZTHM01,2544,2
75221,1325216814085SUTR0,C016580R14ELZTGC05|C16580R14ELZTHM01,2628,2
4902,1225121Z14112LSTL0,B21514STELKINGHM01|B21514STKINGDCDC05,2789,2
14805,1325217514082TUTR0,C17565R14UXTTLHM01|C17565R14UXTTLHM02,2742,2
15203,1325217514082TUTR0,C17565R14UXTTLHM01|C17565R14UXTTLHM02,2742,2
15204,1325217514082TUTR0,C17565R14UXTTLHM01|C17565R14UXTTLHM02,2743,2
15206,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
15209,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
15210,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
15211,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
15212,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
24812,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
24814,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
75208,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
75228,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
14807,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
14801,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
15207,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
24819,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
75209,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2697,2
14802,1D25215013008SXC11,C155R13ULTXPC1HM01|C155R13ULTXPC1HM02,2776,2
9405,1225222716121MXC11,B22575R16XPCLTGC02|B22575R16XPCLTGC03,2873,2
9406,1325217613082TUNE0,C17570R13ULNTLGC03|C17570R13ULNTLGC04,2713,2
14811,1325220416092VURL0,B20560R16UXRLBGC01|B20560R16UXRLBGC02,2764,2
4911,1325217613082TUNE0,C17570R13ULNTLGC03|C17570R13ULNTLGC04,2906,2
4912,1325217613082TUNE0,C17570R13ULNTLGC03|C17570R13ULNTLGC04,2906,2
4923,1325217613082TUNE0,C17570R13ULNTLGC03|C17570R13ULNTLGC04,2906,2
