SKUCode,Cumulative_Actual
1D25215013008SXC10,74916
1325221417096HURL0,36153
1325221318095HURL0,22670
1325225518111HRHB0,19241
1325217515084HURL2,14843
1D25216814008QXPC0,14427
1D25215013008SXC1T,13548
1325222318098HRHE0,6012
1325214617107MSXT0,5527
1325216613079HUNE0,4816
1D25219Z14008SXC10,1136
1325225518111HRAT1,771
1325223317103YLEV0,0
1325223418103VETR0,156
1325222418104HUX10,69
1325215813079TUNE3,38807
1D25214012008QXPCT,26289
1325219515091HURL2,20953
1325214812074TUHL0,16893
1325224716111SELS0,4860
1225219Z15008SXC11,14314
1D25218014010RXPCT,11948
1325215813079TUNE5,10541
1325218614088TTMX0,9880
1325221715100SRAT0,1076
1D25114012008QXPC0,3895
1325223616105TRAT0,76
1325215514075TUNE0,3317
1325218514086HUTR0,531
1325220416092HRHT0,2992
1325218316083HURL0,2712
1325214812074TTMX0,2652
1D25118014010RXPC0,2192
1D25218Z14008QXPC0,2054
1325223517104TRXT0,78
1325214813075SUHL0,353
1325221516098HRHT0,0
1325219416089VRHE0,1450
1325221416095VRHE1,0
1325223616109SELZ0,208
1325221416095VURP0,0
1325216612077TUSP0,969
1325226517112HRHT1,0
1325226617118QRMT0,302
1325224716120NRMT0,0
1325215513073TUNE0,8594
1325231015109QRMT0,1199
1325225518111HRAT0,1734
