Day_Idx,Date,Machine,From_SKU,To_SKU
9,2026-04-09,4507,1325215514075TUNE0,1325221318095HURL0
9,2026-04-09,4603,1325215514075TUNE0,1325221318095HURL0
9,2026-04-09,4815,1325219416089VRHE0,1325214617107MSXT0
10,2026-04-10,4610,1325218316083HURL0,1325225518111HRHB0
10,2026-04-10,5201,1325218316083HURL0,1D25216814008QXPC0
10,2026-04-10,4833,1325220416092HRHT0,1325214812074TUHL0
15,2026-04-15,4602,1325214812074TTMX0,1325225518111HRHB0
19,2026-04-19,3609,1D25214012008QXPCT,1D25215013008SXC1T
19,2026-04-19,3610,1D25214012008QXPCT,1D25215013008SXC1T
19,2026-04-19,3611,1D25214012008QXPCT,1D25215013008SXC1T
19,2026-04-19,3613,1D25219Z14008SXC10,1D25215013008SXC1T
19,2026-04-19,3616,1D25214012008QXPCT,1D25215013008SXC1T
19,2026-04-19,4601,1325218614088TTMX0,1D25215013008SXC1T
19,2026-04-19,4606,1D25214012008QXPCT,1D25215013008SXC1T
19,2026-04-19,4609,1D25214012008QXPCT,1325215513073TUNE0
19,2026-04-19,4806,1325218614088TTMX0,1325215513073TUNE0
19,2026-04-19,4820,1325218614088TTMX0,1325215513073TUNE0
20,2026-04-20,4607,1325222418104HUX10,1325222318098HRHE0
24,2026-04-24,4805,1225219Z15008SXC11,1D25214012008QXPCT
26,2026-04-26,4502,1325215813079TUNE3,1325222318098HRHE0
26,2026-04-26,4503,1325215813079TUNE3,1325222318098HRHE0
26,2026-04-26,4504,1325215813079TUNE3,1325222318098HRHE0
26,2026-04-26,4509,1325215813079TUNE3,1325222318098HRHE0
26,2026-04-26,4511,1325215813079TUNE3,1325222318098HRHE0
26,2026-04-26,4513,1325215813079TUNE3,1325225518111HRAT0
26,2026-04-26,4515,1325215813079TUNE3,1325225518111HRAT0
26,2026-04-26,6009,1325215813079TUNE3,1325215813079TUNE5
28,2026-04-28,4802,1D25216814008QXPC0,1D25219Z14008SXC10
28,2026-04-28,5202,1325219515091HURL2,1D25218014010RXPCT
28,2026-04-28,5201,1D25216814008QXPC0,1D25218014010RXPCT
29,2026-04-29,4608,1325226617118QRMT0,1325223418103VETR0
29,2026-04-29,4603,1325221318095HURL0,1D25218014010RXPCT
29,2026-04-29,4609,1325215513073TUNE0,1D25218014010RXPCT
29,2026-04-29,4807,1325215513073TUNE0,1D25118014010RXPC0
