Machine,SKUCode,MouldNos,MouldLife_remaining,Num_Moulds
4501,1325223616105TRAT0,C23570R16RATTLGC01|C23570R16RATTLGC02,2962,2
4505,1325215813079TUNE5,GC04|GC07,2806,2
4508,1325215813079TUNE5,GC09|GC10,2032,2
4510,1325223517104TRXT0,C23565R17RAXATGC01|C23565R17RAXATGC02,2960,2
4512,1325221715100SRAT0,C21575R15RATTLGC01|C21575R15RATTLGC02,2960,2
4604,1325231015109QRMT0,C31105R15RHTTLHM03|C31105R15RHTTLHM04,2396,2
4605,1325225518111HRAT0,C25565R18RATTLGC02|C25565R18RATTLGC03,2707,2
4801,1325218514086HUTR0,C18565R14UXTTLHM01|C18565R14UXTTLHM02,2894,2
4803,1325224716111SELS0,C24575R16SUPTBMK01|C24575R16SUPTBMK02,2504,2
4804,1325221715100SRAT0,C21575R15RATTLGC01|C21575R15RATTLGC02,2497,2
4812,1D25218014010RXPCT,HM02|HM03,2050,2
4813,1D25218014010RXPCT,HM04|HM06,3000,2
4817,1325224716111SELS0,C24575R16SUPTBMK01|C24575R16SUPTBMK02,1056,2
4846,1D25218014010RXPCT,HM01|MK07,2029,2
4850,1D25114012008QXPC0,C145R12XPCLTTTGC01|C145R12XPCLTTTGC02,1043,2
5203,1325214813075SUHL0,C14580R13ULTHIGC01|C14580R13ULTHIGC02,2821,2
4507,1325223616109SELZ0,C23570R16ELZTLSY04|C23570R16ELZTLSY11,2896,2
4513,1325225518111HRAT0,C25565R18RATTLGC02|C25565R18RATTLGC03,2709,2
4515,1325225518111HRAT0,C25565R18RATTLGC02|C25565R18RATTLGC03,2710,2
6009,1325215813079TUNE5,C15580R13TLGC10|C15580R13TLGC06,2667,2
4802,1325218514086HUTR0,C18565R14UXTTLHM01|C18565R14UXTTLHM02,2840,2
5202,1D25218014010RXPCT,C185R14LTXPCTLGC05|C185R14LTXPCTLHM04,2872,2
5201,1D25218014010RXPCT,C185R14LTXPCTLGC05|C185R14LTXPCTLHM04,2872,2
4608,1325223418103VETR0,C23560R18ELTOUGC02|C23560R18ELATOGC01,2922,2
4603,1D25218014010RXPCT,C185R14LTXPCTLGC05|C185R14LTXPCTLHM04,2935,2
4609,1D25218014010RXPCT,C185R14LTXPCTLGC05|C185R14LTXPCTLHM04,2935,2
