SKUCode,Cumulative_Actual
1D25215013008SXC10,5202
1325221417096HURL0,2456
1325221318095HURL0,1200
1325225518111HRHB0,933
1325217515084HURL2,1125
1D25216814008QXPC0,855
1D25215013008SXC1T,0
1325222318098HRHE0,0
1325214617107MSXT0,375
1325216613079HUNE0,369
1D25219Z14008SXC10,552
1325225518111HRAT1,0
1325223317103YLEV0,0
1325223418103VETR0,0
1325222418104HUX10,0
1325215813079TUNE3,3126
1D25214012008QXPCT,2871
1325219515091HURL2,1524
1325214812074TUHL0,750
1325224716111SELS0,0
1225219Z15008SXC11,1296
1D25218014010RXPCT,756
1325215813079TUNE5,672
1325218614088TTMX0,1143
1325221715100SRAT0,0
1D25114012008QXPC0,0
1325223616105TRAT0,0
1325215514075TUNE0,732
1325218514086HUTR0,0
1325220416092HRHT0,702
1325218316083HURL0,564
1325214812074TTMX0,360
1D25118014010RXPC0,387
1D25218Z14008QXPC0,0
1325223517104TRXT0,0
1325214813075SUHL0,0
1325221516098HRHT0,0
1325219416089VRHE0,330
1325221416095VRHE1,0
1325223616109SELZ0,0
1325221416095VURP0,0
1325216612077TUSP0,185
1325226517112HRHT1,0
1325226617118QRMT0,0
1325224716120NRMT0,0
