Machine,SKUCode,MouldNos,MouldLife_remaining,Num_Moulds
3609,1D25214012008QXPCT,GC01|GC02,1095,2
3610,1D25214012008QXPCT,GC07|GC09,1090,2
3611,1D25214012008QXPCT,GC12|GC13,1308,2
3612,1D25214012008QXPCT,GC08|GC15,2330,2
3613,1D25214012008QXPCT,HM03|HM04,2546,2
3614,1D25214012008QXPCT,GC07|GC09,700,2
3615,1D25214012008QXPCT,GC12|GC05,2288,2
3616,1D25214012008QXPCT,GC03|GC06,968,2
4501,1D25215013008SXC10,HM05|HM07,2356,2
4502,1325215813079TUNE3,HM14|HM15,427,2
4503,1325215813079TUNE3,HM10|HM23,545,2
4504,1325215813079TUNE3,HM09|HM25,565,2
4505,1325215813079TUNE5,GC04|GC07,2116,2
4506,1D25215013008SXC10,GC02|GC10,1976,2
4507,1325215514075TUNE0,GC01|GC02,2049,2
4508,1325215813079TUNE5,GC09|GC10,1343,2
4509,1325215813079TUNE3,HM21|HM26,2622,2
4510,1D25215013008SXC10,HM08|HM16,1968,2
4511,1325215813079TUNE3,HM12|HM22,565,2
4512,1D25215013008SXC10,HM09|HM22,1968,2
4513,1325215813079TUNE3,HM07|HM05,93,2
4514,1D25215013008SXC10,HM14|HM25,1967,2
4515,1325215813079TUNE3,HM08|HM16,976,2
4601,1325218614088TTMX0,HM01|HM02,1855,2
4602,1325214812074TTMX0,HMI03|HMI04,2309,2
4603,1325215514075TUNE0,HM01|HM02,2112,2
4604,1325214617107MSXT0,SX02|SX03,611,2
4605,1325214812074TUHL0,GC01|GC05,1668,2
4606,1D25214012008QXPCT,GC10|GC16,1644,2
4607,1D25214012008QXPCT,GC01|GC02,211,2
4608,1325214812074TUHL0,HMI10|HM12,2696,2
4609,1D25214012008QXPCT,HM01|HM02,2083,2
4610,1325218316083HURL0,HM01|HM02,2377,2
4801,1225219Z15008SXC11,CGC02|HM04,2813,2
4802,1D25216814008QXPC0,GC08|GC10,1147,2
4803,1225219Z15008SXC11,CGC03|CGC04,2374,2
4804,1225219Z15008SXC11,HMI03|HMI04,2356,2
4805,1225219Z15008SXC11,HM05|HM06,2142,2
4806,1325218614088TTMX0,HMI01|HMI02,1998,2
4807,1D25118014010RXPC0,GC03|MK04,2453,2
4808,1325216612077TUSP0,C16570R12UTSTLMK01|C16570R12UTSTLMK02,2906,2
4809,1325221417096HURL0,GC05|GC06,2806,2
4810,1325216613079HUNE0,C16570R13NEOHM01|C16570R13NEOHM02,2813,2
4811,1225219Z15008SXC11,CGC01|HM03,1697,2
4812,1D25218014010RXPCT,HM02|HM03,801,2
4813,1D25218014010RXPCT,HM04|HM06,1751,2
4814,1D25215013008SXC10,GC06|GC07,2403,2
4815,1325219416089VRHE0,HMI07|HMI07,2456,2
4816,1325221417096HURL0,GC03|GC04,1180,2
4817,1D25219Z14008SXC10,GC01|GC02,2179,2
4818,1D25215013008SXC10,HM13|HM28,458,2
4819,1325225518111HRHB0,HMI01|HMI02,770,2
4820,1325218614088TTMX0,HM03|HM04,1952,2
4821,1D25215013008SXC10,HM29|HM30,125,2
4822,1325219515091HURL2,HMI06|HMI07,751,2
4823,1D25215013008SXC10,HM11|HM27,1958,2
4824,1D25215013008SXC10,GC09|HM26,1518,2
4825,1D25215013008SXC10,HM10|HM15,1517,2
4826,1325217515084HURL2,HMI04|HMI08,2695,2
4827,1325225518111HRHB0,HM05|HM06,1479,2
4828,1325217515084HURL2,HMI02|HMI06,1331,2
4829,1325221417096HURL0,HM24|HM27,2749,2
4830,1D25216814008QXPC0,GC03|GC05,2669,2
4831,1D25215013008SXC10,HM17|HM31,1,2
4832,1325219515091HURL2,HM03|HM04,769,2
4833,1325220416092HRHT0,HM03|HM04,2251,2
4834,1325221318095HURL0,HMI05|HMI18,2637,2
4835,1D25215013008SXC10,GC04|GC05,2339,2
4836,1D25215013008SXC10,GC01|HM21,2325,2
4837,1325220416092HRHT0,HM01|HM02,2326,2
4838,1325221318095HURL0,HM02|HMI17,2567,2
4839,1325221417096HURL0,HM22|HM26,1605,2
4840,1325219515091HURL2,HMI05|HMI08,2597,2
4841,1325221417096HURL0,HM14|HM20,610,2
4842,1325221417096HURL0,HMI0|HMI0,2820,2
4843,1325225518111HRHB0,C25565R18RAHT2GC02|C25565R18RAHT2HM02,2844,2
4844,1D25215013008SXC10,HM04|HM32,2694,2
4845,1D25215013008SXC10,HM12|GC03,2424,2
4846,1D25218014010RXPCT,HM01|MK07,780,2
4847,1325221318095HURL0,HMI13|HMI14,2620,2
4848,1325221417096HURL0,HM16|HM32,2957,2
4849,1225219Z15008SXC11,HM01|HM02,2083,2
4850,1D25219Z14008SXC10,MK01|MK02,2435,2
4851,1D25216814008QXPC0,GC09|GC06,1390,2
4852,1D25215013008SXC10,GC08|HM23,272,2
4853,1325221318095HURL0,HM01|HMI07,2530,2
5201,1325218316083HURL0,HMI01|HMI02,2362,2
5202,1325219515091HURL2,GC02|GC03,462,2
5203,1325217515084HURL2,HMI01|HMI07,840,2
6009,1325215813079TUNE3,0,2896,1
