SKUCode,Total Quantity Scheduled
1325214813075SUNE1,16212
1325218515088HTMX0,10785
1D25213812090FXPC0,9998
1D25212812074FXC10,9540
1325114812074TUHL0,9530
1D25212812086FXPC0,9167
1325216814085STMX0,8985
1325217514082HURL2,5760
1325221417100HURL1,5736
1325219316087VURL0,5400
1325221416095VURL0,5400
1325213615099MSXT0,5400
1325216614081STMX0,5385
1325217614084HURL2,5355
1325219416089HRHE0,5272
1325216814085SUTR0,5040
1325119815106QBRQ0,4950
1D25215013008SXC11,4454
1D25215Z13008QXPC0,4308
1325123715105SBRT0,4140
1325217613082TUNE0,3818
1325215513073TUHL0,3600
1325215813079STMX0,3600
1325215813079SUHL0,3600
1325220515094VTMX0,3445
1325218515088HUTR0,3362
1325219316087VUTR0,3318
1325223517104HRHT0,3060
1325221715100SRHT0,2988
1325119015008SRBT0,2970
1325215613075TUHL0,2628
1325218515088TURL0,2458
1325216514079TTMX0,2364
1325217514082TTMX0,2210
1325213612065SULX1,2068
1325217415081HUTR0,1962
1325218615089HURL0,1920
1325217413077TUSP0,1800
1325214813075STMX0,1644
1325218515088HURL1,1454
1325214613071TTMX0,1314
1325218415084TUTR0,1220
1325216614081TVECE,1192
1325217514082TUTR0,1026
1325218514086HURL0,982
1325121715115SLTB0,960
1325220515094VZEP0,858
1325216513077TUHL0,804
1325218515088HURP0,702
1325219515091VURL0,626
1325218416086VURL0,534
1325220416092VURL0,380
1325219515091VZEP0,278
1325219415088VURL1,132
1325225518115QRAT0,74
1D25115013008QXPC0,4
1325121715100SBRT0,4
1325217514082HVECL,2
1325225518111HRHB1,2
1325218614088HURL0,2
CHANGEOVER,0
MOULD_CLEAN,0
